Location Name,Area,Country
Rhos-on-Sea Colwyn Bay,,Wales
Saundersfoot,,Wales
South Tenby,,Wales
Southerndown,,Wales
Trearddur Bay,,Wales
Trecco Bay Porthcawl,,Wales
Tresaith,,Wales
Whitesands,,Wales
Whitmore Bay (Barry),,Wales
An Trá Mór,,Ireland
Ardmore Bay,,Ireland
Ballinskelligs,,Ireland
Ballybunion Mens beach,,Ireland
Ballyheigue,,Ireland
Ballymoney,,Ireland
Banna Strand,,Ireland
Barleycove,,Ireland
Bertra,,Ireland
Brittas Bay,,Ireland
Brittas Bay (North),,Ireland
Bundoran,,Ireland
Cappagh,,Ireland
Carrickfinn,,Ireland
Carrowmore,,Ireland
Cill Muirbhthe,,Ireland
Clare Island,,Ireland
Clogherhead,,Ireland
Clonea,,Ireland
Councillors Strand,,Ireland
Courtown,,Ireland
Culdaff Bay,,Ireland
Curracloe,,Ireland
Derrynane,,Ireland
Dooega,,Ireland
Downings,,Ireland
Dugort,,Ireland
Dunmore Strand,,Ireland
Elly Bay,,Ireland
Fanore,,Ireland
Fenit,,Ireland
Garretstown,,Ireland
Garrylucas,,Ireland
Golden Strand,,Ireland
Greystones,,Ireland
Inch,,Ireland
Inchydoney,,Ireland
Keel,,Ireland
Keem,,Ireland
Kells,,Ireland
Kilkee,,Ireland
Killahoey Strand,,Ireland
Killiney,,Ireland
Lahinch,,Ireland
Magherabeg,,Ireland
Marble Hill,,Ireland
Morriscastle,,Ireland
Mullaghroe,,Ireland
Mulranny,,Ireland
Murvagh,,Ireland
Narin / Portnoo,,Ireland
Owenahincha,,Ireland
Port,,Ireland
Portmarnock,,Ireland
Ross,,Ireland
Rossbeigh,,Ireland
Rosses Point,,Ireland
Rosslare Strand,,Ireland
Rossnowlagh,,Ireland
Salthill,,Ireland
Seapoint,,Ireland
Shellinghill,,Ireland
Silverstrand,,Ireland
Spanish Point,,Ireland
Stroove,,Ireland
The Warren,,Ireland
Trá an Dóilín,,Ireland
Tragumna,,Ireland
Tramore,,Ireland
Traught,,Ireland
White Strand (Cahersiveen),,Ireland
White Strand (Miltown Malbay),,Ireland
Youghal Claycastle,,Ireland
Shoeburyness,,England
Thorpe Bay,,England
Shoebury East,,England
Three Shells (Southend),,England
Southend - Westcliff Bay,,England
Brightlingsea,,England
Walton-on-the-Naze,,England
Dovercourt Bay,,England
Felixstowe South,,England
Sea Palling,,England
Mundesley,,England
Cromer,,England
East Runton,,England
West Runton,,England
Sheringham,,England
Skegness,,England
Sutton-on-Sea,,England
Mablethorpe Town,,England
Hornsea,,England
Scarborough North Bay,,England
Whitby,,England
Saltburn,,England
Roker (Whitburn South),,England
Seaburn Beach (Whitburn North),,England
King Edwards Bay (Tynemouth),,England
Long Sands South Tynemouth,,England
Cleethorpes,,England
