Location Name,Area,Country,URL,Type of Beach,Lifeguard Service,Dogs Friendly Beach?,Activities,Facilities,Nearest Town,Postcode,OS Grid Ref,Water Quality
Carnoustie,Angus,Scotland,https://www.thebeachguide.co.uk/south-scotland/tayside/carnoustie.htm,Sand & rock,No,Dogs allowed,"Good fishing
Swimming/bathing
Rock pooling",Promenade,Dundee,DD7 6AR,NO 5660 3439,5 star
Arbroath,Angus,Scotland,https://www.thebeachguide.co.uk/south-scotland/tayside/victoria-park-arbroath.htm,Rocky,No,We do not have information on this beach but restrictions may apply (usually from Easter until the end of Summer),"Kayaking/canoeing
Good fishing
Sailing
Swimming/bathing
Rock pooling",Slipway,Arbroath,DD11 5TB,NO 6520 4101,5 star
Lunan Bay,Angus,Scotland,https://www.thebeachguide.co.uk/south-scotland/tayside/lunan-bay.htm,Sandy,No,Dogs allowed,"Kayaking/canoeing
Good fishing
Swimming/bathing","Kayaking/canoeing
Good fishing
Swimming/bathing",Montrose,DD11 5ST,NO 6929 5162,5 star
Monifieth,Angus,Scotland,https://www.thebeachguide.co.uk/south-scotland/tayside/monifieth.htm,Sandy,No,We do not have information on this beach but restrictions may apply (usually from Easter until the end of Summer),Picnic area,Picnic area,Dundee,DD5 4NN,NO 5009 3202,no data
East Haven,Angus,Scotland,https://www.thebeachguide.co.uk/south-scotland/tayside/easthaven.htm,East Haven,Sand & rock,No,"Swimming/bathing
Rock pooling",Picnic area,Carnoustie,DD7 6LT,NO 5920 3617,5 star
Broughty Ferry,Dundee City,Scotland,https://www.thebeachguide.co.uk/south-scotland/tayside/broughty-ferry.htm,Sandy,Yes,Animal exclusion in western area between 1st May and 30th September. Eastern beach dog friendly all year,"Kayaking/canoeing
Jet-skiing
Sailing
Swimming/bathing
Surfing
Wind surfing",Shop,Dundee,DD5 2EA,NO 4694 3067,3 star
Belhaven Bay,East Lothian,Scotland,https://www.thebeachguide.co.uk/north-wales/anglesey/aberffraw-bay-traeth-mawr.htm,Traeth Mawr,Sandy,No,"Swimming/bathing
Surfing",Shop,Llangefni,LL63 5EX,SH 3543 6778,5 star
Dunbar East,East Lothian,Scotland,https://www.thebeachguide.co.uk/south-scotland/lothian/east-dunbar.htm,Sandy,No,Dogs allowed,"Rock pooling
Surfing",Shop,Dunbar,EH42 1GT,NT 6835 7886,3 star
Gullane Bents,East Lothian,Scotland,https://www.thebeachguide.co.uk/south-scotland/lothian/gullane.htm,Bents,Sandy,No,"Kayaking/canoeing
Wind surfing",Shop,North Berwick,EH31 2BE,NT 4758 8332,5 star
Longniddry Gosford Bay,East Lothian,Scotland,https://www.thebeachguide.co.uk/north-wales/anglesey/aberffraw-bay-traeth-mawr.htm,Traeth Mawr,Sandy,No,"Swimming/bathing
Surfing",Shop,Llangefni,LL63 5EX,SH 3543 6778,5 star
North Berwick Milsey Bay,East Lothian,Scotland,https://www.thebeachguide.co.uk/south-scotland/lothian/milsey-bay-north-berwick.htm,Sandy,No,Dogs allowed,Swimming/bathing,Pier,North Berwick,EH39 4LE,NT 5590 8530,3 star
North Berwick West Beach,East Lothian,Scotland,https://www.thebeachguide.co.uk/south-scotland/lothian/west-bay-north-berwick.htm,Sandy,No,Dogs allowed,"Crazy golf/putting
Swimming/bathing",Pier,North Berwick,EH39 4JQ,NT 5527 8540,3 star
Longniddry No 1 and 2 (Seton Sands),East Lothian,Scotland,https://www.thebeachguide.co.uk/south-west-england/cornwall/perranuthnoe.htm,Sandy,Yes,Dogs are not allowed on the beach between 1st July and 31st August (10am - 6pm),"Swimming/bathing
Surfing",Slipway,Penzance,TR20 9NE,SW 5401 2922,5 star
Yellowcraig,East Lothian,Scotland,https://www.thebeachguide.co.uk/south-scotland/lothian/yellowcraigs-broad-sands-bay.htm,Broad Sands Bay,Sandy,No,Rock pooling,Picnic area,North Berwick,EH39 5DS,NT 5158 8598,5 star
Aberdour Silversands,Fife,Scotland,https://www.thebeachguide.co.uk/south-scotland/fife/aberdour-black-sands.htm,Sandy,No,Dogs allowed,Sailing,Slipway,Burntisland,KY3 0TY,NT 1934 8505,no data
Anstruther Billowness,Fife,Scotland,https://www.thebeachguide.co.uk/south-scotland/fife/anstruther-billow-ness.htm,Billowness,Sandy,No,"Good fishing
Sailing
Swimming/bathing
Rock pooling",Slipway,Anstruther Wester,KY10 3DA,NO 5661 0357,4 star
Burntisland Beach,Fife,Scotland,https://www.thebeachguide.co.uk/south-scotland/fife/burntisland.htm,Sand & rock,Yes,Dogs allowed,"Crazy golf/putting
Good fishing
Jet-skiing
Sailing
Swimming/bathing
Surfing
Wind surfing",Promenade,Burntisland,KY3 9BS,NT 2389 8610,4 star
Crail Roome Bay,Fife,Scotland,https://www.thebeachguide.co.uk/south-scotland/fife/roome-bay-crail.htm,Sand & rock,No,Dogs allowed,"Good fishing
Swimming/bathing",Slipway,Crail,KY10 3SW,NO 6186 0788,4 star
Elie Harbour,Fife,Scotland,https://www.thebeachguide.co.uk/south-wales/ceredigion/harbour-fourth-groyne-north-aberaeron.htm,Fourth Groyne North,Harbour/Shingle,No,Good fishing,Shop,Aberaeron,SA46 0BH,SN 4555 6307,3 star
Elie Ruby Bay,Fife,Scotland,https://www.thebeachguide.co.uk/south-scotland/fife/elie-woodhaven-ruby-bay.htm,Sandy,Yes,Dogs are restricted from the beach between May to September in line with the Harbour Byelaws.,"Kayaking/canoeing
Good fishing
Jet-skiing
Sailing
Swimming/bathing
Surfing
Wind surfing",Slipway,Earlsferry,KY9 1AP,NT 4973 9963,5 star
Kingsbarns Beach,Fife,Scotland,https://www.thebeachguide.co.uk/south-scotland/fife/kingsbarns.htm,Sandy,No,Dogs allowed,Good fishing,Shop,Crail,KY16 8SX,NO 6041 1235,3 star
Kinghorn and Pettycur Bay,Fife,Scotland,https://www.thebeachguide.co.uk/south-wales/glamorgan/langland-bay.htm,Sand & rock,Yes,Dogs are not permitted 1 May - 30 September (inclusive),"Kayaking/canoeing
Swimming/bathing
Surfing",Shop,Swansea,SA3 4SQ,SS 6070 8733,5 star
Kirkcaldy Seafield,Fife,Scotland,https://www.thebeachguide.co.uk/south-scotland/fife/seafield-kirkcaldy.htm,Sandy,No,Dogs allowed,Picnic area,Picnic area,Kirkcaldy,KY1 1GD,NT 2792 8966,3 star
Leven East,Fife,Scotland,https://www.thebeachguide.co.uk/south-scotland/fife/east-leven.htm,Sandy,No,Dogs allowed,Pub nearby,Pub nearby,Leven,KY8 4HU,NO 3944 0146,4 star
St Andrews East Sands,Fife,Scotland,https://www.thebeachguide.co.uk/south-scotland/fife/st-andrews-east-sands.htm,Sandy,Yes,Dogs allowed,"Kayaking/canoeing
Good fishing
Sailing
Swimming/bathing
Surfing
Wind surfing",Slipway,St Andrews,KY16 8LB,NO 5182 1628,2 star
St Andrews West Sands,Fife,Scotland,https://www.thebeachguide.co.uk/south-scotland/fife/west-sands-st-andrews.htm,Sandy,Yes,Dogs are not allowed on the part of the beach nearest the town between the 1st of May and 30th September,"Sailing
Swimming/bathing
Surfing
Wind surfing",Shop,St Andrews,KY16 9XL,NO 5031 1769,3 star
Aberdour Black Sands,Fife,Scotland,https://www.thebeachguide.co.uk/south-scotland/fife/aberdour-black-sands.htm,Sandy,No,Dogs allowed,Sailing,Slipway,Burntisland,KY3 0TY,NT 1934 8505,no data
Kinghorn Harbour,Fife,Scotland,https://www.thebeachguide.co.uk/south-scotland/fife/harbour-kinghorn.htm,Harbour,No,We do not have information on this beach but restrictions may apply (usually from Easter until the end of Summer),Town centre nearby,Town centre nearby,Kinghorn,KY3 9SX,NT 2708 8687,3 star
Kirkcaldy Pathhead Sands,Fife,Scotland,https://www.thebeachguide.co.uk/south-scotland/fife/pathhead-sands.htm,Sand & shingle,No,Dogs allowed,Good fishing,Picnic area,Kirkcaldy,KY1 2QG,NT 2917 9244,no data
Brora Beach,Highland,Scotland,https://www.thebeachguide.co.uk/north-scotland/highland/brora-beach.htm,Sandy,No,Dogs allowed,Picnic area,Picnic area,Dornoch,KW9 6QE,NC 9118 0397,3 star
Dornoch Beach,Highland,Scotland,https://www.thebeachguide.co.uk/north-scotland/highland/burn-mouth-dornoch.htm,Burnmouth,Sandy,No,Shop,Shop,Dornoch,IV25 3LZ,NH 8071 8739,5 star
Sango Sands,Highland,Scotland,https://www.thebeachguide.co.uk/south-wales/carmarthenshire/marros-sands.htm,Sand & pebble,No,Dogs allowed,no data,no data,Tenby,SA33 4PN,SN 2068 0749,no data
Nairn Central,Highland,Scotland,https://www.thebeachguide.co.uk/north-scotland/highland/central-nairn.htm,Sandy,No,Dogs allowed,Swimming/bathing,Promenade,Nairn,IV12 4EN,NH 8831 5714,3 star
Newton Beach Millport,North Ayrshire,Scotland,https://www.thebeachguide.co.uk/south-scotland/strathclyde/millport-cumbrae.htm,Sandy,No,Dogs allowed,Good fishing,Pier,Millport,KA28 0DJ,NS 1652 5494,4 star
Coldingham,Scottish Borders,Scotland,https://www.thebeachguide.co.uk/south-scotland/scottish-borders/coldingham-bay.htm,Sandy,Yes,Dogs are allowed on the beach but must be kept on a lead from June to September.,"Diving & snorkelling
Swimming/bathing",Beach hut hire,Eyemouth,TD14 5PA,NT 9180 6659,5 star
Troon,South Ayrshire,Scotland,https://www.thebeachguide.co.uk/south-scotland/strathclyde/north-troon.htm,Barassie Beach,Sandy,No,"Kite surfing
Surfing",Pub nearby,Troon,KA10 6QZ,NS 3221 3165,no data
Maidens,South Ayrshire,Scotland,https://www.thebeachguide.co.uk/south-scotland/strathclyde/maidens-turnberry.htm,Sandy,No,Dogs allowed,"Donkey rides
Good fishing
Sailing",Picnic area,Maybole,KA26 9NX,NS 2173 0841,3 star
Prestwick,South Ayrshire,Scotland,https://www.thebeachguide.co.uk/south-scotland/strathclyde/prestwick.htm,Sandy,No,Dogs allowed,Good fishing,Promenade,Ayr,KA9 1QN,NS 3454 2619,3 star
Girvan,South Ayrshire,Scotland,https://www.thebeachguide.co.uk/south-scotland/strathclyde/girvan.htm,Sandy,No,We do not have information on this beach but restrictions may apply (usually from Easter until the end of Summer),Promenade,Promenade,Girvan,KA26 0AW,NX 1823 9741,3 star
Aberdaron Beach,,Wales,https://www.thebeachguide.co.uk/north-wales/gwynedd/aberdaron-beach.htm,Sandy,No,The beach between the river and the church has a dog ban from 1st April to 30th September. At low tide there is plenty of space to either side for dogs to have a run.,"Kayaking/canoeing
Sailing
Surfing
Wind surfing",Promenade,Pwllheli,LL53 8BE,SH 1740 2623,2 star
Abersoch,,Wales,https://www.thebeachguide.co.uk/north-wales/gwynedd/abersoch.htm,Sandy,Yes,Dogs allowed,"Sailing
Wind surfing","Sailing
Wind surfing",Pwllheli,LL53 7DP,SH 3163 2788,5 star
Aberystwyth (North),,Wales,https://www.thebeachguide.co.uk/south-wales/ceredigion/north-aberystwyth.htm,Traeth y Gogledd,Sand & shingle,Yes,"Kayaking/canoeing
Donkey rides
Sailing
Surfing
Wind surfing",Promenade,Aberystwyth,SY23 2DD,SN 5831 8202,3 star
Aberystwyth (South),,Wales,https://www.thebeachguide.co.uk/south-wales/ceredigion/south-aberystwyth.htm,Traeth y De,Sand & shingle,Yes,"Kayaking/canoeing
Donkey rides
Sailing
Surfing
Wind surfing",Promenade,Aberystwyth,SY23 1DZ,SN 5798 8135,5 star
