keyword,question_1,answer_1,question_2,answer_2,question_3,answer_3,question_4,answer_4,question_5,answer_5
animales con h,animales con h,,¿Qué animal empieza con I?,"Conoce al impala, al indri y al insecto palo, por solo mencionar algunos de los animales que empiezan por I.",¿Qué animal hay con la letra N?,"Narval. Es un cetáceo cuya característica más distintiva es una cresta o cuerno que sobresale de su cabeza, y que puede llegar a medir un metro de largo.
Navaja.
Nautilus.
Nauyaca.
Nécora.
Necturo.
Negrón.
Nilgó",¿Qué animales se escriben con g?,,¿Qué animales comienza con E?,"Escorpión. El escorpión, también llamado ""alacrán"", pertenece a la familia de los arácnidos y se distribuye prácticamente en todo el planeta. Escarabajo. Estornino pinto. Esturión. Erizo. Eglefino. Estrella de ."
cuáles son los animales herbívoros,cuáles son los animales herbívoros,"Los animales herbívoros, conocidos también como fitófagos, son aquellos cuya dieta es principalmente vegetal, por lo que consumen plantas, hierbas o algas. Pueden ser animales vertebrados o invertebrados, y van desde ejemplares diminutos hasta los más grandes, como el elefante.",¿Cuáles son los animales herbívoros y de qué se alimentan?,"Los animales herbívoros, conocidos también como fitófagos, son aquellos cuya dieta es principalmente vegetal, por lo que consumen plantas, hierbas o algas. Pueden ser animales vertebrados o invertebrados, y van desde ejemplares diminutos hasta los más grandes, como el elefante.",¿Cuáles animales son carnívoros?,"Felinos: Gato, félidos grandes y mangostas.
Algunos cánidos: Lobo, perro doméstico, hienas, etc.
Algunos mustélidos: Huron, oso polar, ballenas, delfines, murciélagos.",¿Cuáles son los animales herbívoros carnívoros y omnívoros?,"Básicamente, los animales carnívoros son aquellos que se alimentan de carne mientras que los herbívoros tienen una dieta eminentemente vegetal. En cambio, los omnívoros se alimentan tanto de carne como de alimentos de origen vegetal.",¿Qué animales son herbívoros y de qué se alimentan?,"Los animales herbívoros, conocidos también como fitófagos, son aquellos cuya dieta es principalmente vegetal, por lo que consumen plantas, hierbas o algas. Pueden ser animales vertebrados o invertebrados, y van desde ejemplares diminutos hasta los más grandes, como el elefante."
animales con o,animales con o,,¿Qué cosas empiezan con O?,"oca.
ocelote.
orangután.
orca.
ornitorrinco.
oruga.
oso hormiguero.
oso polar.",¿Qué colores hay con o?,"Ocaso ______
Ocre ______
Ocre amarillo ______
Ocre dorado ______
Ocre pardo ______",¿Qué animal comienza con la letra Y?,,¿Qué animal comienza con la U?,
animales terrestres y acuaticos,¿Cuáles son los animales terrestres y acuáticos?,"Los animales terrestres son animales que viven predominante o totalmente en la tierra, a diferencia de los animales acuáticos, que viven predominante o totalmente en el agua o los anfibios, que dependen de la combinación de hábitats terrestres y acuáticos.",¿Qué animales son terrestres?,"El elefante (Loxodonta africana).
El león (Panthera leo).
La jirafa (Giraffa camelopardalis).
Oso panda (Ailuropoda melanoleuca).
Dragón de Komodo (Varanus komodoensis).
Avestruz (Struthio camelus).
Orangután (Pongo pygmaeus).",¿Qué son los animales aéreos acuáticos y terrestres?,"Los animales terrestres, viven predominante o totalmente en la tierra; los acuáticos son los que viven en el agua durante toda o la mayor parte de su vida; y por último, los animales aéreos, son aquellos que tienen la capacidad de volar o desplazarse por los aires.",¿Qué animales son acuáticos y terrestres?,"Los animales que viven en el agua se llaman acuáticos. Ejemplos de estos son: peces, corales, pulpos y algas. Estos pueden vivir cerca de la superficie o en el fondo, entre las plantas o en cuevas. Los animales terrestres viven en la superficie de la tierra.",¿Cuáles son los animales terrestres lista?,"El elefante (Loxodonta africana).
El león (Panthera leo).
La jirafa (Giraffa camelopardalis).
Oso panda (Ailuropoda melanoleuca).
Dragón de Komodo (Varanus komodoensis).
Avestruz (Struthio camelus).
Orangután (Pongo pygmaeus)."
animales en inglés,¿Cómo se escriben los nombres de los animales en inglés?,,¿Cómo se escribe los nombres de los animales?,"Los nombres científicos de animales y plantas se escriben en cursiva, con el primer componente en mayúscula (designativo del género) y, caso de mencionarse, con el segundo en minúscula (designativo de la especie).",¿Cómo se escriben nombres de animales en inglés?,,¿Cómo se escriben y pronuncian los animales en inglés?,,¿Cómo se llaman los nombres de los animales?,
animales grandes,animales grandes,"10- La orca – nueve metros.
9- La anaconda – 10 metros.
8- El tiburón ballena – 12 metros.
7- La ballena gris – 15 metros.
6- El calamar gigante – 18 metros.
5- El cachalote – 20 metros.
4- La ballena de aleta o rorcual común – 20 metros.",¿Cuáles son los 5 animales más grandes del mundo?,"Ballena azul.
Ballena de aleta o rorcual.
Cachalote.
Calamar gigante.
Ballena gris.
Tiburón ballena.
Anaconda.
Orca.",¿Cuáles son los 10 animales más pesados del mundo?,"Escarabajo Goliat – el insecto más pesado del mundo.
Salamandra china gigante – el anfibio más grande.
Avestruz – ave más grande.
Cocodrilo de agua salada – reptil más grande.
Tiburón ballena – pez más grande.
Oso polar – depredadores terrestres más grandes.",¿Cuál es el animal terrestre más grande del mundo?,La ballena azul antártica (Balaenoptera musculus Intermedia) es el animal más grande del planeta.,¿Cuál es el animal más grande de la selva?,"El animal más grande de la selva es el elefante de la selva en selvas de África, en Latinoamérica este título se lo lleva el tapir."
animales con s,animales con s,"Salmón.
Serpiente.
Salamandra común.
Suslik europeo.
Sábalo.
Sapo.
Suricata.
Sepia.",¿Qué animal empieza con T?,,¿Qué animales se escriben con la letra A?,,¿Qué colores hay con s?,"Salmón ______
Sangría ______
Secuoya ______
Sepia ______",¿Que empiecen con S?,"salamandra.
salmón.
saltamontes.
sanguijuela.
sapo.
sardina.
sepia.
serpiente."
nombres de animales carnívoros,nombres de animales carnívoros,"Todos los felinos, como el gato doméstico, grandes félidos y mangostas entre otros.
Algunos cánidos, como el lobo gris.
Hienidos (menos el Proteles Cristata que es omnívoro).
Algunos mustélidos, como el hurón.
El oso polar (los demás osos son omnívoros).",¿Cuáles animales son carnívoros?,"Felinos: Gato, félidos grandes y mangostas.
Algunos cánidos: Lobo, perro doméstico, hienas, etc.
Algunos mustélidos: Huron, oso polar, ballenas, delfines, murciélagos.",¿Cuáles son los animales carnívoros para niños?,"Leones, tigres y osos.
Tiburones, pingüinos y cocodrilos.
Serpientes, tortugas y mucho tipos de insectos.",¿Qué animales son carnívoros?,"El tiburón blanco, la pantera negra, el león de la Sabana, el oso polar, el cocodrilo e incluso una anaconda son otros ejemplos de especies carnívoras. La lista de animales que se alimentan de carne es interminable, incluyendo al ser humano.",¿Cuáles son los 4 animales carnívoros?,"Felinos: Gato, félidos grandes y mangostas.
Algunos cánidos: Lobo, perro doméstico, hienas, etc.
Algunos mustélidos: Huron, oso polar, ballenas, delfines, murciélagos."
animales vertebrados y invertebrados,animales vertebrados y invertebrados,"Los animales se pueden clasificar en dos grandes grupos: vertebrados, que tienen columna vertebral, como el ser humano; o invertebrados, que no tienen columna vertebral.  ANIMALES VERTEBRADOS. Son los que tienen un esqueleto articulado formado por huesos.",¿Qué son animales invertebrados y ejemplos?,"Los animales invertebrados son aquellos animales que no tienen una columna vertebral, por lo que no poseen un esqueleto interno articulado. Por ejemplo: hormigas, arañas, abejas, moscas.",¿Cuáles son los animales vertebrados ejemplos?,"Mamíferos terrestres. Como perros, gatos, elefantes, leones, jirafas, pumas, hienas, lobos, camellos, ovejas, caballos, rinocerontes, etc.
Primates y simios.
Peces óseos.
Peces cartilaginosos.
Mamíferos acuáticos.
Aves de todo tipo.
Anfibios.
Reptiles.",¿Cuáles son los animales invertebrados lista?,"Artrópodos: arácnidos, insectos, miriápodos, crustáceos.
Anélidos: lombrices de tierra, sanguijuelas.
Moluscos: almejas, calamares, pulpos, caracoles.
Equinodermos: estrellas de mar y erizos de mar.
Cnidarios: medusas, corales, pólipos.
Poríferos: esponjas.
Platelmintos: gusanos planos.",¿Cuáles son los animales invertebrados para niños?,"Los animales invertebrados no tienen huesos y son ovíparos, es decir se reproducen por huevos. Los clasificamos en seis grupos: Esponjas, son animales acuáticos con forma de saco. Medusas y corales, también son acuáticos y viven en mares y océanos."
animales de agua,animales de agua,"Cetáceos. Como la ballena, la beluga y el delfín.
Pinnípedos. Como la foca, el elefante marino y la morsa.
Sirenios. Como el manatí y el dugongo.
Paquidermos. Como el rinoceronte y el hipopótamo.
Roedores. Como la nutria y el carpincho.",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
