keyword,question_1,answer_1,question_2,answer_2,question_3,answer_3,question_4,answer_4,question_5,answer_5
animales de peligro de extinción,animales de peligro de extinción,"El oso polar.
El oso panda.
El elefante.
La ballena.
El chimpancé
El gorila de montaña.
El leopardo de las nieves.
El tigre de Sumatra.",¿Qué animales están en peligro de extinción porque?,"Gorila de montaña.
Oso polar.
Lince ibérico.
Tigre de Sumatra.
Rinoceronte blanco.
Leopardo de las nieves.
Oso panda.
Chimpancé común.",¿Qué especies de animales están en peligro de extinción en México?,"Ajolote.
Jaguar.
Lobo mexicano.
Oso negro.
Vaquita marina.
Tortuga caguama.
Guacamayo rojo.
Ocelote.",¿Qué animales están en peligro de extinción y él porque la causa?,#NAME?,¿Qué animal está en peligro de extinción?,"Sin embargo, también están en peligro de extinción, entre ellos están: El oso panda, el koala, el puma, el gorila, el lince, el cóndor, la tortuga Arrau y el tigre, entre otros."
oviparos animales,oviparos animales,"Los animales ovíparos son aquellos que nacen de un huevo, por ejemplo: pollos, tortugas, gallinas, avestruces, pájaros, patos, cocodrilo, tiburón, guacamaya, pavorreal, peces, dinosaurios, sapos, insectos, cangrejos, serpientes, entre otros El huevo está formado por la yema, la clara, las membranas y el cascarón.",¿Cuáles son los animales ovíparos vivíparos y ovovivíparos?,"Los animales vivíparos, ovíparos y ovovivíparos se diferencian en que los vivíparos se desarrollan en el vientre materno, los ovíparos en un huevo que crece fuera del vientre y los ovovivíparos en un huevo también, pero dentro del vientre de la madre.",¿Qué son los animales ovíparos y vivíparos?,"Los animales se forman en el interior del útero de su madre (vivíparos) o dentro de un huevo (ovíparos) que ha sido puesto por ella, de manera que, según su forma de nacimiento, pueden ser vivíparos u ovíparos.",¿Qué son los ovovivíparos ejemplos?,"Ciertas víboras y serpientes, como el áspid (Vipera aspis), típica de Europa, se reproducen de manera ovovivípara, expulsando a las crías vivas junto con los restos del huevo eclosionado del cuerpo materno, cuando ya están maduros.
Ejemplos de animales ovovivíparos Ciertas víboras y serpientes, como el áspid (Vipera aspis), típica de Europa, se reproducen de manera ovovivípara, expulsando a las crías vivas junto con los restos del huevo eclosionado del cuerpo materno, cuando ya están maduros.",¿Qué es Oviparo para niños de primaria?,"Se denomina como animales ovíparos a las especies que producen y ponen huevos donde se desarrollan los embriones. Como ejemplo de animales ovíparos se pueden mencionar las aves, anfibios, reptiles y diversas especies de peces e insectos."
como respiran los animales,como respiran los animales,"Los anfibios, reptiles, aves y mamíferos respiran por medio de pulmones que se comunican con el exterior por las vías respiratorias. Los pulmones pueden tener forma de saco o tubo, y los alveolos son las estructuras en las cuales se realiza la difusión del oxígeno.",¿Cuáles son los 5 tipos de respiración en los animales?,"Respiración cutánea. Como su nombre lo indica, se lleva a cabo a través de la piel.
Respiración branquial. Típico de los animales acuáticos o submarinos, es decir, que nunca salen del agua y obtienen de ella el oxígeno necesario para vivir.
Respiración traqueal.
Respiración pulmonar.",¿Qué animales tienen respiración branquial y traqueal?,"Respiración branquial: tienen los moluscos, como caracoles, larvas de anfibios y peces. Respiración traqueal: tienen los artrópodos terrestres insectos, como hormigas; arácnidos, como arañas y miriápodos, como el mil pies (en guaraní ambu'a).",¿Cuáles son los 4 tipos de respiración?,"Es el proceso de intercambio de oxígeno y dióxido de carbono con el medio ambiente. Se clasifica en respiración pulmonar, branquial, traqueal y cutánea.",¿Cómo respiran los animales que viven en la Tierra?,"En el caso de los insectos, éstos respiran por medio de tráqueas, que son una serie de tubos delgados que conectan con el exterior a través de poros. Otros animales, como la lombriz de tierra, respiran por su piel. Para que esto ocurra, su piel siempre debe mantenerse húmeda."
clasificación de los animales por su alimentación,clasificación de los animales por su alimentación,"Los animales son consumidores y dependiendo de qué comen se les clasifican en: herbívoros, carnívoro u omnívoros. En la zoología, un herbívoro es un animal que se alimenta exclusivamente de plantas y no de carne. En la práctica, sin embargo, muchos herbívoros comen huevos y ocasionalmente otras proteínas animales.",,,,,,,,
documentales de animales,¿Cuáles son los mejores documentales de animales?,"Our Planet | Nuestro planeta.
Before the flood | Antes que sea tarde.
Planeta Tierra II.
Cowspiracy.
One strange rock | Nuestro planeta.
Chasing Coral | En busca del coral.
Terra.
Wild Yellowstone.",¿Cuáles son los documentales más interesantes?,"Shoah (1985) Dirección: Claude Lazmann.
Cosmos: A Space-Time Odyssey (2014)
Nostalgia de la luz (2010)
Lo que el pulpo me enseñó (2020)
Human (2015)
David Attenborough: Una vida en nuestro planeta (2020)
La sal de la Tierra (2014)
Vals con Bashir (2008)",¿Cuáles son los mejores documentales de National Geographic?,"El mundo según Jeff Goldblum.
Apolo: Misiones a la Luna.
Marte Dentro del Falcon Heavy.
Drenar los océanos.
Grandes migraciones.
Nuestro planeta (One Strange Rock)
Jane.
El resurgir de la Atlántida.",¿Qué son los documentales de animales?,"Estos documentales se acercan a los animales para mostrarnos cómo viven sin que tengamos que trasladarnos a miles de kilómetros, quedándonos en más de una ocasión con la boca abierta.",¿Cómo ven los animales Netflix?,"Con tecnología innovadora, esta docuserie explora la naturaleza desde una nueva perspectiva y muestra cómo los animales usan los colores para sobrevivir. El ganador del Emmy, locutor y naturalista David Attenborough (Nuestro planeta) presenta esta llamativa docuserie."
animales herbívoros carnívoros y omnívoros,¿Qué son los animales herbívoros carnívoros y omnívoros?,"Básicamente, los animales carnívoros son aquellos que se alimentan de carne mientras que los herbívoros tienen una dieta eminentemente vegetal. En cambio, los omnívoros se alimentan tanto de carne como de alimentos de origen vegetal.",¿Cuáles son los animales omnívoros ejemplos?,"Todos los cerdos.
Casi todos los osos, menos el oso polar.
Los perros, zorros y chacales pueden comer de todo, pero su dieta preferida es la carnívora.
Erizos, coatíes, mapaches, zarigüeyas, mofetas y roedores (ratón, ratas y ardillas).",¿Qué son los animales carnívoros y ejemplos?,"Los animales carnívoros son aquellos que se alimentan de la carne de otros animales. Por ejemplo: el perro, el león, la serpiente. Obtienen los nutrientes de una dieta que puede estar basada total o parcialmente en el consumo de carne.",¿Qué comen los animales omnívoros?,"Finalmente tenemos en la gran clasificación de los animales herbívoros carnívoros y omnívoros, resaltan los animales omnívoros que se refieren a los que no tienen una dieta exclusiva en ambos bandos, es decir pueden comer plantas y vegetales, pero también consumir carne.",¿Qué animales omnívoros?,"Todos los cerdos.
Casi todos los osos, menos el oso polar.
Los perros, zorros y chacales pueden comer de todo, pero su dieta preferida es la carnívora.
Erizos, coatíes, mapaches, zarigüeyas, mofetas y roedores (ratón, ratas y ardillas)."
animales felinos,What is the oldest Feline species?,,What is the Felidae family known for?,,What was the first Feline on earth?,The earliest cats probably appeared about 35 to 28.5 million years ago. Proailurus is the oldest known cat that occurred after the Eocene–Oligocene extinction event about 33.9 million years ago; fossil remains were excavated in France and Mongolia's Hsanda Gol Formation.,What are the three genus of cats?,"The Felidae family have been split into three genera: Panthera (cats that roar – lions, tigers, leopards, snow leopards, clouded leopards and jaguars) Acinonyx (the Cheetah) Felis (all other 'small' cats)",What was the original feline?,"The first cats emerged during the Oligocene about million years ago, with the appearance of Proailurus and Pseudaelurus."
que son los animales invertebrados,que son los animales invertebrados,"Los animales invertebrados suelen ser animales de pequeño tamaño y carecen de esqueleto interno óseo o cartilaginoso. Sin embargo, bastantes clases de invertebrados protegen su cuerpo por medio de conchas, caparazones o cubiertas de alguna sustancia dura.",¿Qué son animales invertebrados y ejemplos?,"Los animales invertebrados son aquellos animales que no tienen una columna vertebral, por lo que no poseen un esqueleto interno articulado. Por ejemplo: hormigas, arañas, abejas, moscas.",¿Qué son los animales invertebrados para niños?,"Los animales invertebrados no tienen huesos y son ovíparos, es decir se reproducen por huevos. Los clasificamos en seis grupos: Esponjas, son animales acuáticos con forma de saco. Medusas y corales, también son acuáticos y viven en mares y océanos.",¿Qué son animales invertebrados ejemplos?,"Artrópodos: arácnidos, insectos, miriápodos, crustáceos.
Anélidos: lombrices de tierra, sanguijuelas.
Moluscos: almejas, calamares, pulpos, caracoles.
Equinodermos: estrellas de mar y erizos de mar.
Cnidarios: medusas, corales, pólipos.
Poríferos: esponjas.
Platelmintos: gusanos planos.",¿Cuáles son los animales invertebrados resumen?,"Los animales invertebrados suelen ser animales de pequeño tamaño y carecen de esqueleto interno óseo o cartilaginoso. Sin embargo, bastantes clases de invertebrados protegen su cuerpo por medio de conchas, caparazones o cubiertas de alguna sustancia dura."
animales con c,animales con c,,¿Qué animal empieza con la letra D?,,¿Qué animal empiecen con la letra A?,,¿Qué animales empieza con la letra I?,"Insecto palo (Phasmatodea)
Inca arcoíris (Coeligena iris)
Iguana (Iguana iguana)
Irara (Eira barbara)
Isoca de la alfalfa (Colias lesbia)
Ipequí (Heliornis fulica)
Indri colicorto (Indri indri)
Ipacaá (Aramides ypecaha)",¿Qué animales con P?,
como respiran los animales acuaticos,como respiran los animales acuaticos,"Las branquias son órganos externos, en contraposición a los pulmones de los vertebrados terrestres, y se encuentran ubicadas dentro de las hendiduras branquiales, comunicadas con el tubo digestivo, de esta manera, el agua que ingresa por la boca del animal, fluye hacia las branquias y se elimina.",¿Cómo logran respirar bajo el agua?,"El cómo respiran en el agua es gracias a que existe oxígeno disuelto en ella, aunque en menos cantidad que en el aire, gracias a sus órganos especiales es como logran respirar los animales que viven debajo del agua.",¿Cómo respiran los animales acuáticos mamíferos?,"Los órganos que permiten el intercambio gaseoso entre el animal y el agua son las branquias, que extrae el oxígeno disuelto en el agua y transfiere el dióxido de carbono hacia el medio. Respiración branquial de los animales acuáticos Los órganos que permiten el intercambio gaseoso entre el animal y el agua son las branquias, que extrae el oxígeno disuelto en el agua y transfiere el dióxido de carbono hacia el medio.",¿Cómo respiran los animales que viven en el agua y los que viven bajo la tierra?,"¿Cómo respiran los animales debajo del agua? El cómo respiran en el agua es gracias a que existe oxígeno disuelto en ella, aunque en menos cantidad que en el aire, gracias a sus órganos especiales es como logran respirar los animales que viven debajo del agua.",¿Cómo se puede respirar bajo el agua?,¿Cómo podemos respirar cuando nos metemos bajo el agua? Podemos respirar debajo del agua con un tubo o con una botella de oxígeno. A la práctica de esta sencilla actividad se le denomina Snorkel.
