Job Ad Title,Advertiser  Name,Short Description Text ,Job Ad location,Job Ad URL,Job Ad Area,Job Category,Work Type
Perl Developer,Winc,We are looking for Perl Developers to support and develop our eCommerce platforms. Perm and Contracted/Full-Time Opp.,Sydney,https://www.seek.com.au/job/53610730?type=standout#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Contract/Temp
Electrical Instrumentation Technician - Inkerman Mill - North Qld,Wilmar Sugar Pty Ltd,Wilmar is currently seeking an experienced Engineering Systems Technician to fulfil a vacancy within the IWM Team at Inkerman Mill.,Northern QLD,https://www.seek.com.au/job/53610669?type=standard#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,Trades & Services,Electricians,Full Time
Aircraft Technical Records and Accounts Administrator,Adelaide,"Administrative positions, duties including technical data control, procurement, invoicing, parts control, data entry, general administration duties.",Adelaide,https://www.seek.com.au/job/53610648?type=standard#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,"Manufacturing, Transport & Logistics",Aviation Services,Full Time
Software Engineer,Mane Consulting,"Join a global provider of investment and financial services software, driving innovation to deliver distributed, multi-tiered enterprise systems",Melbourne,https://www.seek.com.au/job/53610586?type=standout#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,CBD & Inner Suburbs,Information & Communication Technology,Full Time
React & .Net Developers - Senior Fullstack Engineer,The Recruitment Company,"React & .Net Developers - Senior Fullstack Engineer
Daily Rate: $900 plus super
6 Month Contracts(potential extension)
WFH & CBD Office
NSW Government",Sydney,https://www.seek.com.au/job/53610341?type=standard#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,Information & Communication Technology,Developers/Programmers,Full Time
"Amazing Graduate - Junior Software Developer (Java, JS, React, Node, Salesforce)",Centric 128,Expand your technical and soft skills in a dynamic and enjoyable working environment!,Melbourne,https://www.seek.com.au/job/53610278?type=standard#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,Information & Communication Technology,Developers/Programmers,Full Time
Graduate System Specialist,Fortescue Future Industries,Brand new opportunity to form a part of a new Digital Asset Team for FFI.,Perth,https://www.seek.com.au/job/53610147?type=standout#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,"CBD, Inner & Western Suburbs",Information & Communication Technology,Full Time
Asset Performance Management Specialist,Fortescue Future Industries,Brand new opportunity to form a part of a new Digital Asset Team for FFI.,Perth,https://www.seek.com.au/job/53610127?type=standout#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,"CBD, Inner & Western Suburbs",Engineering,Full Time
Mining Engineer – 2 Week Planner,Fortescue Metals Group Ltd,"Permanent opportunity for a role based at Christmas Creek, FIFO ex. Perth on an 8:6 roster.","Port Hedland, Karratha & Pilbara",https://www.seek.com.au/job/53610004?type=standout#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,"Mining, Resources & Energy",Mining - Engineering & Maintenance,Full Time
Project Engineer DDR Sydney,DDR Indigenous Contractors,Seeking an experienced Project Engineer/Assistant PM to join our team working on maintenance construction projects around Sydney/NSW,"Newcastle, Maitland & Hunter",https://www.seek.com.au/job/53609902?type=standout#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,Construction,Project Management,Full Time
Fenergo Engineer,Delivery Centric Tech Services Pty Ltd,Looking for Fenergo Engineers for an excellent opportunity in Melbourne,Melbourne,https://www.seek.com.au/job/53609748?type=standard#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,CBD & Inner Suburbs,Information & Communication Technology,Full Time
Java Engineer - Sydney,Macquarie Group Limited,As a passionate and flexible Java Engineer you will work in our Corporate Operations Group providing technology solutions to our business,Sydney,https://www.seek.com.au/job/53609716?type=standout#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Full Time
Software Engineering Manager,IQX Business Solutions,Lead the engineering practices and development team in the transition to offering SaaS solutions,Sydney,https://www.seek.com.au/job/53545258?type=promoted#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,North Shore & Northern Beaches,Information & Communication Technology,Full Time
Senior Software Engineer,RateMyAgent,Let your ideas shine and be heard in this collaborative fast-paced start-up! ,Melbourne,https://www.seek.com.au/job/53287582?type=promoted#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,CBD & Inner Suburbs,Information & Communication Technology,Full Time
"Senior PHP / React Developer - $140,000",BLACKROC,"regan@blackroc.co | 0478 687 951 | Expanding company, modern stack, based in Fortitude Valley working with a phenomenal team of engineers - Call Regan",Brisbane,https://www.seek.com.au/job/53609698?type=standard#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,CBD & Inner Suburbs,Information & Communication Technology,Full Time
Deputy ILS Manager,Saab Australia Pty Ltd,The Deputy ILS Manager will support the maintenance & growth of the ILS capability for defence acquisition projects & sustainment tasks.,Adelaide,https://www.seek.com.au/job/53609676?type=standout#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,Engineering,Other,Full Time
Delivery Lead,APA Group,APA is a leading Australian Securities Exchange (ASX) listed energy infrastructure business.,Brisbane,https://www.seek.com.au/job/53609498?type=standout#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,CBD & Inner Suburbs,Information & Communication Technology,Full Time
Civil Engineer,"PDA Surveyors, Engineers & Planners","Opportunity for a Civil Engineer to join our experienced Engineering division and become a part of our highly skilled, multi-disciplinary team.",Hobart,https://www.seek.com.au/job/53609457?type=standout#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,Engineering,Civil/Structural Engineering,Full Time
Senior Security Operations Engineer,Medibank,Excellent opportunity for a Senior Security Operations Engineer to contribute to Medibank’s security posture.,Melbourne,https://www.seek.com.au/job/53609410?type=standout#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,CBD & Inner Suburbs,Information & Communication Technology,Full Time
Senior Estimator (Frames),Ari Recruitment Pty Ltd,"Great opportunity for a Senior Estimator to join and busy and growing team, showcasing their skills and experience.",Brisbane,https://www.seek.com.au/job/53609347?type=standout#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,Southern Suburbs & Logan,Construction,Full Time
Graduate Programme Planner,Bravura Solutions Operations Pty Limited,"ASX listed fintech pioneering next-generation technology for the world’s leading financial services businesses, today and for the future.",Melbourne,https://www.seek.com.au/job/53609316?type=standout#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,CBD & Inner Suburbs,Information & Communication Technology,Full Time
DevOps Software Engineer,Boeing Defence Australia,You will be part of the team that enhance and sustain operational software on platforms such as the Airborne Early Warning & Control (AEW&C) E-7A a...,"Newcastle, Maitland & Hunter",https://www.seek.com.au/job/53609281?type=standout#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,Information & Communication Technology,Engineering - Software,Full Time
Data Engineer,Paxus,"Use your data engineering experience working with PL/SQL, Python and Apache Spark to work with a highly skilled data team for a blue-chip end client.",Sydney,https://www.seek.com.au/job/53609265?type=standout#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,North West & Hills District,Information & Communication Technology,Full Time
.Net Developer,Compas Pty Ltd,Join a dynamic development team on a long term contract!,ACT,https://www.seek.com.au/job/53609249?type=standard#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,Information & Communication Technology,Developers/Programmers,Contract/Temp
DevOps Software Engineer,Boeing Defence Australia,You will be part of the team that enhance and sustain operational software on platforms such as the Airborne Early Warning & Control (AEW&C) E-7A a...,Adelaide,https://www.seek.com.au/job/53609220?type=standout#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,Information & Communication Technology,Engineering - Software,Full Time
Wintel Engineer,Milestone Information Technology,Milestone IT has an excellent opportunity for an experienced Wintel engineer to join this community focussed business located in Melbourne CBD. Ini...,Melbourne,https://www.seek.com.au/job/53609185?type=standout#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,CBD & Inner Suburbs,Information & Communication Technology,Contract/Temp
Surveyor - Construction,Framework Search & Select Pty Ltd,"Surveyor required, leading company, long term & varied projects. Work in a team, progress your career, enhance your skillset, be part of a solid team.",Sydney,https://www.seek.com.au/job/53609052?type=standard#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,Parramatta & Western Suburbs,Construction,Full Time
DRAFTSPERSON | RESIDENTIAL,Blended Employment,NEW ROLE | BASED IN CENTRAL SUBURB OF TENERIFFE | COLLAB WITH DIRECTOR TO CREATE CONCEPTS FOR HIGH-END CUSTOM PROJECTS ACROSS SE QLD.,Brisbane,https://www.seek.com.au/job/53609049?type=standout#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,CBD & Inner Suburbs,Design & Architecture,Full Time
x4 Mid Level Software Engineers,Temple & Webster Group,Enjoy remote working with a highly respected world class ecommerce team,"Newcastle, Maitland & Hunter",https://www.seek.com.au/job/53609011?type=standout#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,Information & Communication Technology,Engineering - Software,Full Time
System Analyst,IAG,The purpose of your role is to provide more complex programming and implementation activities within IAG Group Technology.,Melbourne,https://www.seek.com.au/job/53608997?type=standard#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,CBD & Inner Suburbs,Insurance & Superannuation,Full Time
Senior Automation Test Engineer,SALT SEARCH PTY LTD,Seeking a Senior Automation Test Engineer that has previously worked with Javascript on Automation frameworks such as Cypress OR WebdriverIO.,Melbourne,https://www.seek.com.au/job/53608974?type=standout#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,Information & Communication Technology,Testing & Quality Assurance,Full Time
Business Analyst / Business Architect,ACSO,Are you an experienced BA looking for a meaningful new role? Come and join a great NFP! Experience with PEGA would be advantageous but not essential.,Melbourne,https://www.seek.com.au/job/53608942?type=standard#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,CBD & Inner Suburbs,Information & Communication Technology,Contract/Temp
Senior Developer - Data,REA Group,Help us change the way the world experiences property!,Melbourne,https://www.seek.com.au/job/53608919?type=standout#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,CBD & Inner Suburbs,Information & Communication Technology,Full Time
Quality Engineer,AccessHQ,Great environment that values learning and career development. Work on a variety projects.,Melbourne,https://www.seek.com.au/job/53608845?type=standout#searchRequestToken=ff3fb66d-e42a-4ca2-a2d3-2a0a78885fe9,CBD & Inner Suburbs,"Manufacturing, Transport & Logistics",Full Time
Software Engineer (Java),Cubic Transportation Systems,Mid-level opportunity for an experience Java Software Engineer to join the Global Cubic Engineering team.,Perth,https://www.seek.com.au/job/53473073?type=promoted#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,Northern Suburbs & Joondalup,Information & Communication Technology,Full Time
Software Engineer x 2,ACI Worldwide (Pacific) Pty Ltd,"ACI Worldwide is trusted by many of the world's largest banks, processors and retailers to provide their payment systems.",Sydney,https://www.seek.com.au/job/53421935?type=promoted#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Full Time
Test Automation Engineer,Tribal,"We are looking for an experienced Test Automation Engineer to join our Edge team, developing our most ambitious solution yet.",South West Coast VIC,https://www.seek.com.au/job/53608763?type=standard#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,Information & Communication Technology,Testing & Quality Assurance,Full Time
DevOps Software Engineer,Boeing Defence Australia,You will be part of the team that enhance and sustain operational software on platforms such as the Airborne Early Warning & Control (AEW&C) E-7A a...,Brisbane,https://www.seek.com.au/job/53608742?type=standout#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,CBD & Inner Suburbs,Information & Communication Technology,Full Time
x2 Senior PHP Developers,Temple & Webster Group,Enjoy remote working with a highly respected world class ecommerce team,"Newcastle, Maitland & Hunter",https://www.seek.com.au/job/53608710?type=standout#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,Information & Communication Technology,Developers/Programmers,Full Time
Embedded C++ Software Engineer (Innovative Industrial Products),Task Recruitment,Work with a talented & dynamic embedded software development team developing industrial solutions for mining & constructions industries.,Brisbane,https://www.seek.com.au/job/53608708?type=standard#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,CBD & Inner Suburbs,Information & Communication Technology,Full Time
Software Integration Engineer,Peoplebank Australia ACT,Looking for Software Integration Engineers for a Global Technology Leader. Current Baseline clearance is required.,ACT,https://www.seek.com.au/job/53608684?type=standout#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,Information & Communication Technology,Developers/Programmers,Full Time
Software Engineer,Plenti,Join one of Australia's leading Fintechs on the front line of our mission to make finance more rewarding for all Australians.,Adelaide,https://www.seek.com.au/job/53608665?type=standout#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,Information & Communication Technology,Engineering - Software,Full Time
Maintenance Planner,Airnorth,An exciting opportunity exists to join the Airnorth Continuing Airworthiness team as the Maintenance Planner.,Darwin,https://www.seek.com.au/job/53608545?type=standard#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,"Manufacturing, Transport & Logistics",Aviation Services,Full Time
Senior Detailer,Hays Trades & Labour,An exciting opportunity with a new player in the steel industry. Don't miss out on being part of a new era!,Melbourne,https://www.seek.com.au/job/53608515?type=standard#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,Bayside & South Eastern Suburbs,Construction,Full Time
Senior Software Engineer (Backend),OpenTable Australia,"Get excited. OpenTable, one of the world's most beloved brands, has an opportunity for you to be part of their growing tech hub!",Melbourne,https://www.seek.com.au/job/53608426?type=standard#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,CBD & Inner Suburbs,Information & Communication Technology,Full Time
AWS DevOps Engineer,Versent Pty Ltd,"With a diversified offering in professional services, managed services and product, we are poised for significant growth in 2021.",Brisbane,https://www.seek.com.au/job/53608430?type=standout#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,CBD & Inner Suburbs,Information & Communication Technology,Full Time
Scrum Master,Capgemini Australia Pty Ltd,"Our Digital Engineering (DE) practice provides client advisory services in Project Delivery, Software Development, System Integration and DevOps le...",Sydney,https://www.seek.com.au/job/53608376?type=standout#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,Information & Communication Technology,Programme & Project Management,Full Time
Cloud Engineering Lead (AWS),Snobal,"Join Snobal, a cloud VR/AR company as a Cloud Engineering Lead and provide leadership in managing our cloud engineering performance and delivery.",Melbourne,https://www.seek.com.au/job/53608326?type=standout#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,CBD & Inner Suburbs,Information & Communication Technology,Full Time
Senior / Electrical Engineer (Building Services),Planned Resources,A great time to join a sound nationally owned business with good work flow in Electrical / building services,Melbourne,https://www.seek.com.au/job/53606983?type=standout#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,CBD & Inner Suburbs,Engineering,Full Time
SharePoint Consultant,Data#3 People Solutions NSW,SharePoint Consultant | 3 Months | Teams | O 365,Melbourne,https://www.seek.com.au/job/53608184?type=standard#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,CBD & Inner Suburbs,Information & Communication Technology,Contract/Temp
Software Engineer (Junior-mid level),Northrop Grumman Australia Pty Ltd,"Great opportunity to utilise your software engineering skills on a SATCOMs project. Supportive manager, lots of on job training. Apply now!",Brisbane,https://www.seek.com.au/job/53608171?type=standard#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,CBD & Inner Suburbs,Information & Communication Technology,Full Time
Solution Architect,Modis,"Microsoft Solution Architect with Baseline required. Canberra, Sydney, Brisbane, Melbourne or Adelaide locations available",ACT,https://www.seek.com.au/job/53608146?type=standard#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,Information & Communication Technology,Architects,Contract/Temp
Senior Software Engineer,Rubicon Water,Utilize your developer expertise in this senior position! Remote working options / Hawthorn East location.,Melbourne,https://www.seek.com.au/job/53608138?type=standout#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,Eastern Suburbs,Information & Communication Technology,Full Time
Software Engineer (Junior-mid level),Northrop Grumman Australia Pty Ltd,"Great opportunity to utilise your software engineering skills on a SATCOMs project. Supportive manager, lots of on job training. Apply now!",ACT,https://www.seek.com.au/job/53608119?type=standard#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,Information & Communication Technology,Engineering - Software,Full Time
Senior Software Engineer - Python,Real Time Australia P/L,"Amazing contract role for Engineers with strong Python to build & evolve platforms, design, coding & config. One of the largest greenfields projects!",Melbourne,https://www.seek.com.au/job/53608091?type=standard#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,CBD & Inner Suburbs,Information & Communication Technology,Contract/Temp
Senior Software Engineer - Java,Real Time Australia P/L,"Amazing contract role for Engineers with strong Java to build & evolve platforms, design, coding & config. One of the largest greenfields projects!",Melbourne,https://www.seek.com.au/job/53608090?type=standard#searchRequestToken=cd010835-8c2e-4a27-83df-e696ce22614b,CBD & Inner Suburbs,Information & Communication Technology,Contract/Temp
