entity_number,registration_date,status,entity_name,jurisdiction,agent_for_service_of_process
C0164030,09/10/1935,ACTIVE,"SOCIEDADE DA FESTA VELHA DO DIVINO ESPIRITO SANTO DE MOUNTAIN VIEW,   CALIFORNIA, NUMBER 1",CALIFORNIA,MANUEL FERNANDO SILVA
C0164963,12/04/1935,MERGED OUT,A0C0 EMPLOYEES' CREDIT UNION NO. 1,CALIFORNIA,
C0167509,03/22/1935,DISSOLVED,MUTUAL WATER COMPANY NO. 1,CALIFORNIA,WENDY KELLY
C0168308,09/02/1936,FTB SUSPENDED,"ANGEL CITY PUP TENT NO. 1 MILITARY ORDER OF THE COOTIES, VETERANS OF  FOREIGN WARS OF THE UNITED STATES",CALIFORNIA,
C0169419,12/09/1936,ACTIVE,THE ACTIVE 20-30 CLUB OF SACRAMENTO NO. 1,CALIFORNIA,MIKE ROCKENSTEIN
C0170208,02/11/1937,FTB SUSPENDED,"VINCENT DRUGS NO. 1, INC.",CALIFORNIA,
C0175922,06/08/1938,ACTIVE,SAN BRUNO VOLUNTEER FIRE DEPARTMENT CO. NO. 1,CALIFORNIA,LEO INFERRERA
C0181285,10/14/1939,FTB SUSPENDED,"WEST COAST FUSE MAKERS AND MINE SUPPLY EMPLOYEES UNION, LOCAL NO. 1",CALIFORNIA,
C0184773,08/01/1940,DISSOLVED,"VETERANS OF A. E. F. SIBERIA, SOUTHWESTERN DIVISION NO. 1",CALIFORNIA,FRANK MOORE
C0190224,03/20/1942,FTB SUSPENDED,"SAN FRANCISCO PYRAMID NO. 1, ANCIENT EGYPTIAN ORDER OF SCIOTS",CALIFORNIA,
C0190409,04/15/1942,ACTIVE,MOUNTED PATROL TROOP NO. 1 SAN MATEO COUNTY,CALIFORNIA,MIKE HUTNICK III
C0197006,02/03/1945,FTB SUSPENDED,"X-1-A, WORLD WAR TWO VETERANS, INC.",CALIFORNIA,
C0198800,07/23/1945,MERGED OUT,"ANITA FROCKS, INC. NO. 1",CALIFORNIA,
C0199003,08/08/1945,MERGED OUT,SMITH-RICE BARGE NO. 1 COMPANY,CALIFORNIA,
C0201886,01/18/1946,FTB SUSPENDED,LEIGHTON-NEWTON SPECIAL DINNER CO. NO. 1,CALIFORNIA,
C0201922,01/21/1946,DISSOLVED,"KARNO & FRIENDLY, INC., NO. 1",CALIFORNIA,
C0202897,02/21/1946,ACTIVE,"ALAMEDA FLYING CLUB, UNIT 1",CALIFORNIA,BRANDON HOWARD
C0203139,03/01/1946,DISSOLVED,"TINY NAYLOR'S DRIVE-IN NO. 1, INC.",CALIFORNIA,
C0203545,03/14/1946,DISSOLVED,LESTER RUBEN CORPORATION NO. 1,CALIFORNIA,
C0203580,03/15/1946,FTB SUSPENDED,C-1 INC.,CALIFORNIA,
C0203980,03/28/1946,MERGED OUT,"STANLEY FROCKS, INC. NO 1",CALIFORNIA,
C0204204,04/03/1946,DISSOLVED,DEPIERRO-PIZER NO. 1,CALIFORNIA,JOSEPH DE PIERRO
C0207729,07/12/1946,DISSOLVED,"TREASURE ISLE NO, 1, INC.",CALIFORNIA,
C0207870,07/17/1946,FTB SUSPENDED,"BUSINESS VETERANS ASSOCIATION, INC. CHAPTER NO. 1",CALIFORNIA,
C0213292,01/16/1947,DISSOLVED,"A-1 TRUCK RENTAL SERVICE, INC.",CALIFORNIA,
C0216521,05/01/1947,FTB SUSPENDED,WORLD WAR II VETERANS INC. CHICO CHAPTER NO. 1 CHICO CALIFORNIA,CALIFORNIA,
C0221268,10/17/1947,FTB SUSPENDED,"RESERVE OFFICERS ASSOCIATION OF THE UNITED STATES, KERN COUNTY        CHAPTER NO. 1, BAKERSFIELD, CALIFORNIA.",CALIFORNIA,
C0222875,12/12/1947,FTB SUSPENDED,BRIDGE CITY SOCIAL CLUB NO. 1,CALIFORNIA,
C0224912,02/19/1948,FTB SUSPENDED,CALIFORNIA-UTAH OIL CO. NO. 1,CALIFORNIA,
C0227120,04/30/1948,DISSOLVED,S LIQUIDATING CORP. NO. 1,CALIFORNIA,
C0227994,06/03/1948,FTB SUSPENDED,"A-1 SOCIAL CLUB, INC.",CALIFORNIA,
C0228843,07/02/1948,DISSOLVED,1 2 3 4 5 OFFICE CENTER,CALIFORNIA,JEAN WARBURTON
C0229744,08/10/1948,FTB SUSPENDED,"COLUMBIA ENGINE COMPANY NO. 1, INC.",CALIFORNIA,
C0232098,11/15/1948,DISSOLVED,A-1 PHOTO SERVICE,CALIFORNIA,
C0233002,12/27/1948,DISSOLVED,"MORNINGSIDE MANOR, NO. 1",CALIFORNIA,
C0236129,05/09/1949,FTB SUSPENDED,"A-1 SHEET METAL & ROOFING CO., INC.",CALIFORNIA,
C0236358,05/20/1949,DISSOLVED,"UNION HOUSING PLAN NO. 1, INC.",CALIFORNIA,
C0236439,05/23/1949,DISSOLVED,"BURBANK PROPERTIES, INC. NO. 1",CALIFORNIA,
C0236499,05/24/1949,DISSOLVED,"A-1 ELECTRIC CO., INC.",CALIFORNIA,
C0236730,06/03/1949,DISSOLVED,A-1 PIPE & SUPPLY COMPANY,CALIFORNIA,
C0237463,07/07/1949,FTB SUSPENDED,A-1 CIGARETTE VENDING CO.,CALIFORNIA,
C0242064,01/25/1950,FTB SUSPENDED,"A-1 BLOCK CVOMPANY OF VISTA, INC.",CALIFORNIA,
C0242112,01/26/1950,FTB SUSPENDED,DOCTORS' ASSOCIATION VETERANS OF WORLD WARS 1 AND 2,CALIFORNIA,
C0243211,03/08/1950,DISSOLVED,"A-1 PLASTICS DEVELOPMENT & ENGINEERING, INC.",CALIFORNIA,
C0243950,04/03/1950,FTB SUSPENDED,"A-1 MODERNIZATION CO., INC.",CALIFORNIA,
C0244615,04/25/1950,FTB SUSPENDED,A-1 CONSTRUCTION COMPANY OF SHERMAN OAKS,CALIFORNIA,
C0245618,05/29/1950,FTB SUSPENDED,"SANTA MONICA, CALIFORNIA NO. 1 CHAPTER SPEBSQSA",CALIFORNIA,
C0246192,06/19/1950,FTB SUSPENDED,"BUENA PARK MANOR NO. 1, INC.",CALIFORNIA,
C0246351,06/26/1950,FTB SUSPENDED,"FREMONT SQUARE TRACT NO. 1, INC.",CALIFORNIA,
C0249718,11/24/1950,DISSOLVED,CALIFORNIA ISLAND X-1 SEABEE VETERANS OF AMERICA,CALIFORNIA,GEO A HUBBARD
C0251934,02/26/1951,FTB SUSPENDED,"SACRAMENTO SQUADRON NO. 1, CALIFORNIA WING, AIR FORCE ASSOCIATION",CALIFORNIA,
C0253178,04/12/1951,FTB SUSPENDED,HIGHWAY 1 ASSOCIATION,CALIFORNIA,
C0253917,05/07/1951,FTB SUSPENDED,"VALLEJO POST R12-1, FEDERAL EMPLOYEES VETERANS ASSOCIATION",CALIFORNIA,
C0254493,05/31/1951,DISSOLVED,WOODMAN MANOR UNIT 1,CALIFORNIA,
C0260167,02/06/1952,FTB SUSPENDED,VISTA PARK HOMES NO. 1,CALIFORNIA,
C0260779,02/28/1952,FTB SUSPENDED,CONSOLIDATED NO. 1,CALIFORNIA,LARRY B HARVEY
C0261799,04/03/1952,FTB SUSPENDED,A-1 RECORDING CORPORATION,CALIFORNIA,
C0262428,04/23/1952,FTB SUSPENDED,A-1 HOME IMPROVEMENT CO.,CALIFORNIA,
C0262508,04/25/1952,FTB SUSPENDED,"A-1 ELECTRIC ENGINEERING CO., INC.",CALIFORNIA,
C0263132,05/14/1952,MERGED OUT,"A-1 POMONA LAUNDRY, INC.",CALIFORNIA,
C0263391,05/22/1952,ACTIVE,SAFE 1 CREDIT UNION,CALIFORNIA,LORRAINE TOWNSEND
C0265592,08/07/1952,FTB SUSPENDED,"SILVERADO PARK APTS. NO. 1, INC.",CALIFORNIA,
C0266321,09/03/1952,DISSOLVED,DURHAM VOLUNTEER FIRE DEPARTMENT ENGINE COMPANY NO. 1,CALIFORNIA,NANCY SCHLEIGER
C0268650,11/21/1952,DISSOLVED,"CLAIREMONT GARDEN APTS. NO. 1, INC.",CALIFORNIA,
C0268695,11/24/1952,FTB SUSPENDED,"AA-1 METAL POLISHING & PLATING CO., INC.",CALIFORNIA,
C0269217,12/15/1952,FTB SUSPENDED,"A-1 CATERING SERVICE, INC.",CALIFORNIA,
C0273560,04/23/1953,MERGED OUT,"SID'S NO. 1, INC.",CALIFORNIA,
C0273579,04/24/1953,FTB SUSPENDED,A - 1 SAN FRANCISCO FIRE PROTECTION CORPORATION,CALIFORNIA,
C0273725,04/29/1953,FTB SUSPENDED,A-1 HEATING AND SHEET METAL CORPORATION,CALIFORNIA,
C0275481,06/18/1853,FTB SUSPENDED,"A-1 COMMUNITY TV SYSTEM, INC.",CALIFORNIA,
C0276710,07/23/1953,FTB SUSPENDED,AL'S PLACE NO. 1,CALIFORNIA,
C0279587,10/27/1953,SURRENDER,"WIRE MOUNTAIN HOMES, INC. NO. 1",MONTANA,
C0279881,11/05/1953,FTB SUSPENDED,A-1 TILE CORPORATION,CALIFORNIA,
C0279890,11/05/1953,FTB SUSPENDED,"THE MOST WORSHIPFUL ABRAHAM GRAND LODGE NO. 1, ANCIENT FREE AND       ACCEPTED SCOTTISH RITE MASONS, INCORPORATED",CALIFORNIA,
C0280218,11/16/1953,FTB SUSPENDED,"SAN DIEGO POST NO. 1, AMERICAN EX-PRISONERS OF WAR",CALIFORNIA,
C0280838,12/07/1953,ACTIVE,"PUBLIC EMPLOYEES UNION, LOCAL NO. 1, THE",CALIFORNIA,WINSTON INGRAM
C0281012,12/14/1953,FTB SUSPENDED,"SLIM BEVERAGES DISTRIBUTING CO., INC. NO. 1",CALIFORNIA,
C0281202,12/18/1953,DISSOLVED,RICHMOND FIRST BIBLE WAY MISSIONARY BAPTIST CHURCH # 1,CALIFORNIA,
C0281590,01/04/1954,MERGED OUT,BEACH GROCERY CO. NO. 1,CALIFORNIA,
C0283040,02/15/1954,FTB SUSPENDED,A-1 PRECISION PRODUCTS,CALIFORNIA,
C0283888,03/09/1954,DISSOLVED,BOBBIE LYNN SPORT TOGS NO. 1,CALIFORNIA,WILLIAM L CATES
C0287430,06/07/1954,FTB SUSPENDED,"A-1 ALLIANCE TERMITE CONTROL, INC.",CALIFORNIA,
C0294568,11/29/1954,FTB SUSPENDED,A-1 CHEMICAL CORPORATION,CALIFORNIA,
C0299177,03/04/1955,FTB SUSPENDED,P.A.P.A. FLYING CLUB NO. 1,CALIFORNIA,
C0299929,03/18/1955,FTB SUSPENDED,A-1 LINOLEUM ANMD SHADE CO.,CALIFORNIA,
C0300686,03/31/1955,DISSOLVED,"LENNEY HOMES UNIT 1, INC.",CALIFORNIA,
C0301104,04/07/1955,DISSOLVED,SULTAN CARCARE CORP. NO. 1.,CALIFORNIA,M G SCHELLHARDT
C0301570,04/18/1955,MERGED OUT,"CORONADO ESTATES NO. 1, INC.",CALIFORNIA,
C0301572,04/18/1955,FTB SUSPENDED,"TOWN AND COUNTRY ESTATES NO. 1, INC.",CALIFORNIA,
C0301890,04/22/1955,FTB SUSPENDED,"CAPITOL ESTATES NO. 1, INC.",CALIFORNIA,
C0302572,05/04/1955,MERGED OUT,"WILEY VENTURE NO. 1, INC.",CALIFORNIA,
C0303646,05/25/1955,DISSOLVED,"COLLEGE GROVE NO. 1, INC.",CALIFORNIA,
C0303772,05/26/1955,FTB SUSPENDED,"A-1 IRON & METAL CO., INC.",CALIFORNIA,
C0304228,06/03/1955,FTB SUSPENDED,A-1 SAW SERVICE,CALIFORNIA,CHARLES M. GILLANDERS
C0305794,07/01/1955,DISSOLVED,"COUNCIL NO. 1, I. D. E. S.",CALIFORNIA,JOE FARIA JR
C0309461,09/22/1955,FTB SUSPENDED,A-1 CHECK SERVICE COMPANY,CALIFORNIA,
C0309786,09/29/1955,FTB SUSPENDED,"VETERANS OF WORLD WAR 1, NORCO BARRACKS NO. 98",CALIFORNIA,
C0311082,10/25/1955,FTB SUSPENDED,SWANSON'S A-1 ELECTRIC CO.,CALIFORNIA,
C0311756,11/10/1955,FTB SUSPENDED,"THE CALIFORNIA ORDER OF PATROLMEN, LODGE NO. 1 OF RICHMOND, CALIFORNIA",CALIFORNIA,
C0314253,01/09/1956,FTB SUSPENDED,"MANHATTAN TERRACE NO. 1, INC.",CALIFORNIA,
C0319640,04/24/1956,FTB SUSPENDED,"A-1 AUTO WASH, INC.",CALIFORNIA,
C0320334,05/08/1956,DISSOLVED,"IMPERIAL SUBDIVISION 1, MUTUAL WATER ASSOCIATION",CALIFORNIA,RAYMUNDO DERMA
C0322510,06/18/1956,DISSOLVED,"FREDERICK'S OF HOLLYWOOD NO. 1, INC.",CALIFORNIA,
C0324568,07/30/1956,FTB SUSPENDED,A-1 PLATING AND SHEET METAL CO.,CALIFORNIA,
C0326200,08/31/1956,DISSOLVED,"A-1 CONTRACTORS, INC.",CALIFORNIA,B E WEISZ
C0326235,08/31/1956,DISSOLVED,"VETERANS OF WORLD WAR 1 OF THE UNITED STATES OF AMERICA, FONTANA      BARRACKS NO. 386",CALIFORNIA,KURT E FEIGE
C0326286,09/04/1956,FTB SUSPENDED,"A-1 DESIGN & CONSTRUCTION CO., INC.",CALIFORNIA,
C0327412,09/28/1956,FTB SUSPENDED,"KAY ESTATES NO. 1, INC.",CALIFORNIA,
C0328723,10/26/1956,MERGED OUT,"TINY NAYLOR'S NO. 1, INC.",CALIFORNIA,
C0328895,10/31/1956,FTB SUSPENDED,BOUQUET CANYON HOMES NO. 1,CALIFORNIA,
C0329598,11/16/1956,SOS/FTB SUSPENDED,"ROD'S GRILL NO. 1, INC.",CALIFORNIA,BETTY WELLMAN
C0330454,12/07/1956,MERGED OUT,"A-1 SPRING COMPANY, INC.",CALIFORNIA,
C0330609,12/12/1956,FTB SUSPENDED,A-1 TUMBURR CORP.,CALIFORNIA,
C0330663,12/12/1956,DISSOLVED,"HILLYER ALMOND RANCH NO. 1, INC.",CALIFORNIA,
C0331253,12/26/1956,FTB SUSPENDED,"VIC TANNY HEALTH CLUB, NO. 1, INC.",CALIFORNIA,
C0331455,01/02/1957,FTB SUSPENDED,"A-1 PHOTO, INC.",CALIFORNIA,
C0332013,01/11/1957,FTB SUSPENDED,"A-1 WRECKING, INC.",CALIFORNIA,
C0332074,01/14/1957,DISSOLVED,"W. H. STURTEVANT NO. 1, INC.",CALIFORNIA,
C0332076,01/14/1957,DISSOLVED,"G. A. STURTEVANT NO. 1, INC.",CALIFORNIA,SUSAN M CLARK
C0332388,01/18/1957,FTB SUSPENDED,"AL'S BROILER NO. 1, INC.",CALIFORNIA,
C0333088,02/01/1957,FTB SUSPENDED,A-1 AIRCRAFT DRILLING CORP.,CALIFORNIA,
C0334415,03/01/1957,FTB SUSPENDED,BUENA VISTA HEIGHTS NO. 1 CO.,CALIFORNIA,
C0336766,04/16/1957,DISSOLVED,"SIERRA VIEW ESTATES NO. 1, INC.",CALIFORNIA,ROBERT A SCHLESINGER
C0337608,05/02/1957,FTB SUSPENDED,"ARDEN MUTUAL HOMES NO. 1, INC.",CALIFORNIA,
C0337888,05/09/1957,FTB SUSPENDED,"BULLARD MANOR COOPERATIVE NO. 1, INC.",CALIFORNIA,
C0340069,03/21/1957,FTB SUSPENDED,"BUENA RANCHES NO. 1, INC.",CALIFORNIA,
C0340430,06/28/1957,DISSOLVED,"1 ST SOUTHERN BAPTIST CHURCH YUCAIPA, CALIFORNIA",CALIFORNIA,JERRY R. FLEEMAN
C0340463,06/28/1957,MERGED OUT,A 1 DISPOSAL CORPORATION,CALIFORNIA,
C0341133,07/15/1957,MERGED OUT,"INTERNATIONAL HOUSE OF PANCAKES NO, 1, INC., THE",CALIFORNIA,
C0341361,07/18/1957,FTB SUSPENDED,"A-1 PAINTING, INC.",CALIFORNIA,
C0342522,08/13/1957,DISSOLVED,"VETERANS OF WORLD WAR 1, BARRACKS 199",CALIFORNIA,ED V BOOTH
C0342922,08/21/1957,DISSOLVED,"A-1 WOODWORKS, INC.",CALIFORNIA,R YANOVER
C0343011,08/23/1957,DISSOLVED,"PENOBSCOT INVESTORS COMPANY NO. 1, INC.",CALIFORNIA,
C0343170,08/28/1957,FTB SUSPENDED,"A-1 PHOTO OF SOUTH BAY, INC.",CALIFORNIA,
C0344998,10/08/1957,DISSOLVED,"SUNNYHILLS COOPERATIVE NO. 1, INC.",CALIFORNIA,
C0346396,11/12/1957,DISSOLVED,VETERANS OF WORLD WAR NO. 1 OF U. S. A. DEPARTMENT OF CALIFORNIA      BARRACKS NO. 216,CALIFORNIA,DAVID ROWLAND
C0346774,11/21/1957,DISSOLVED,"VETERANS OF WORLD WAR 1., DEPARTMENT OF CALIFORNIA",CALIFORNIA,RAY E WENTWORTH
C0346907,11/25/1957,FTB SUSPENDED,BARSTOW MUTUAL HOMES NO. 1 INC.,CALIFORNIA,
C0349196,01/17/1958,FTB FORFEITED,"CHURCH OF GOD AND SAINTS OF CHRIST, TABERNACLE NO. 1 (ONE) OF THE     DISTRICT OF COLUMBIA",DISTRICT OF COLUMBIA,
C0349534,01/28/1958,DISSOLVED,"VETERANS OF WORLD WAR 1 OF THE UNITED STATES OF AMERICA, DEPARTMENT   OF CALIFORNIA, MOTHER LODE BARRACKS NO. 643",CALIFORNIA,
C0349937,02/05/1958,DISSOLVED,"VETERANS OF WORLD WAR 1 OF THE U. S. A., INC. DEPARTMENT OF           CALIFORNIA, CLEARLAKE BARRACKS NO. 607",CALIFORNIA,EARL FRANTOM
C0350016,02/06/1958,MERGED OUT,"C. G. C. NO. 1, INC.",CALIFORNIA,
C0350042,02/07/1958,FTB SUSPENDED,A-1 TRAILER SUPPLY,CALIFORNIA,EMMET RAKE
C0350746,02/21/1958,DISSOLVED,"FULLERTON BARRACKS NO. 512, VETERANS OF WORLD WAR NO. 1",CALIFORNIA,MARIAN B SHARP
C0351619,03/12/1958,FTB SUSPENDED,A-1 MORTGAGE FUNDS,CALIFORNIA,
C0352628,04/02/1958,DISSOLVED,TURLOCK BARRACKS NO. 760 VETERANS OF WORLD WAR 1,CALIFORNIA,GEORGE BILL
C0352937,04/08/1958,DISSOLVED,"URBAN HOMES MUTUAL NO. 1, INC.",CALIFORNIA,
C0355838,06/12/1958,FTB SUSPENDED,"CHINO BARRACKS NO. 799, VETERANS OF WORLD WAR 1",CALIFORNIA,
C0356187,06/19/1958,DISSOLVED,"CHARLES CRAMER F-1, INC.",CALIFORNIA,
C0357387,07/14/1958,DISSOLVED,"VETERANS OF WORLD WAR 1., DEPARTMENT OF CALIFORNIA, DEPARTMENT NO.    FOUR",CALIFORNIA,MARY HALLOCK
C0357599,07/18/1958,SOS/FTB SUSPENDED,"MODESTO BARRACKS NO. 254, VETERANS OF WORLD WAR 1",CALIFORNIA,LEONARD S HULTZ
C0358831,08/13/1958,DISSOLVED,"A-1 WHOLESALE PLYWOOD, INC.",CALIFORNIA,
C0359434,08/27/1958,MERGED OUT,"SHOP-RITE MARKET NO. 1, INC.",CALIFORNIA,
C0360594,09/23/1958,SOS/FTB SUSPENDED,SACRAMENTO A-1 DOOR,CALIFORNIA,** RESIGNED ON 05/09/2016
C0360789,09/26/1958,DISSOLVED,V LIQUIDATING CORP. NO. 1,CALIFORNIA,
C0362706,10/31/1958,DISSOLVED,"HARRY CURLAND CATERING NO. 1, INC.",CALIFORNIA,
C0362904,11/05/1958,DISSOLVED,"GRASS VALLEY BARRACKS NO. 776, VETERANS OF WORLD WAR NO. 1",CALIFORNIA,CHARLES DEARDORF
C0363241,11/12/1958,DISSOLVED,ROSSMOOR NO. 1 CORP.,CALIFORNIA,
C0364045,11/24/1958,DISSOLVED,MAMMOTH MOUNTAIN CHAIR LIFT NO. 1,CALIFORNIA,
C0364247,11/28/1958,FTB SUSPENDED,"A-1 FERTILIZER CO., INC.",CALIFORNIA,NADINE SMITH
C0366059,01/02/1959,FTB SUSPENDED,"A - 1 CLUTCH CO., INC.",CALIFORNIA,
C0366330,01/05/1959,FTB SUSPENDED,GOLDEN WEST UNITED DISTRICT BAPTIST ASSOCIATION NO. 1,CALIFORNIA,
C0366653,01/09/1959,FTB SUSPENDED,"A-1 DESK & SAFE, INC.",CALIFORNIA,
C0367808,01/29/1959,FTB SUSPENDED,"A-1 DOOR & WINDOW CO., INC.",CALIFORNIA,
C0367848,01/29/1959,SOS/FTB SUSPENDED,A-1 SANITATION COMPANY,CALIFORNIA,TERRI POKUTOMI
C0368291,02/04/1959,FTB FORFEITED,"AAA-1 ASPHALT PAVING & SUPPLY CO., INC.",NEVADA,
C0368953,02/16/1959,DISSOLVED,"A-1 REFRIGERATION SERVICE, INC.",CALIFORNIA,
C0370051,03/03/1959,MERGED OUT,"BOLINGER & MATTERA NO. 1., INC.",CALIFORNIA,
C0370329,03/06/1959,DISSOLVED,PENINSULA BARRACKS NO. 414 VETERANS OF WORLD WAR 1 OF THE UNITED      STATES OF AMERICA,CALIFORNIA,LOUIS J KRENTZ
C0373599,04/22/1959,DISSOLVED,A-1 IMPORTERS INC.,CALIFORNIA,
C0373653,04/23/1959,DISSOLVED,"ADAH CHAPTER NO. 1, ORDER OF THE EASTERN STAR, PRINCE HALL RITE OF    ADOPTION, STATE OF CALIFORNIA AND ITS JURISDICTION",CALIFORNIA,MRS MARY M ALI
C0375053,05/12/1959,FTB SUSPENDED,"FRESNO CLUB NO. 1, HANDICAP ATHLETIC ASSOCIATION",CALIFORNIA,
C0375785,05/22/1959,DISSOLVED,"THE GIANT 88¢ STORES, NO. 1, INC.",CALIFORNIA,
C0376828,06/05/1959,FTB SUSPENDED,A-1 MUFFLER & MACHINE SHOP,CALIFORNIA,
C0379026,07/09/1959,MERGED OUT,1 2 3 4 5 CORPORATION,CALIFORNIA,
C0380186,07/28/1959,DISSOLVED,"MORENO VALLEY BARRACKS #211, OF VETERANS OF WORLD WAR NO. 1.          DEPARTMENT OF CALIFORNIA",CALIFORNIA,HOWARD E MAY
C0383511,09/25/1959,FTB SUSPENDED,"A-1 ACCEPTED APPLIANCES, INC.",CALIFORNIA,
C0383838,10/01/1959,FTB SUSPENDED,"A-1 MEAT JOBBERS, INC.",CALIFORNIA,
C0384208,10/07/1959,FTB SUSPENDED,ASSOCIATED PIONEERS OF AMERICA NATIONAL LODGE NO. 1,CALIFORNIA,
C0384871,10/21/1959,SOS/FTB SUSPENDED,"VETERANS OF WORLD WAR 1 OF THE UNITED STATES OF AMERICA, GRIDLEY      BARRACKS NO. 1198",CALIFORNIA,ARTHUR SCHELL
C0385056,10/23/1959,DISSOLVED,"LUKENS DRIVE-IN DAIRY, NO. 1, INC.",CALIFORNIA,JAMES LUKENS
C0386975,11/30/1959,DISSOLVED,A-1 ADVERTISING SERVICE,CALIFORNIA,RICHARD G CHICHESTER
C0387466,12/10/1959,MERGED OUT,"SHASTA FOOD STORE NO. 1, INC.",CALIFORNIA,
C0387520,12/10/1959,FTB SUSPENDED,"A-1 CONCRETE, INC.",CALIFORNIA,
C0387544,12/11/1959,DISSOLVED,"LADIES AUXILIARY, VETERANS OF WORLD WAR 1, VAN NUYS BARRACKS NO. 593, INC.",CALIFORNIA,WINSTON ROCHE'
C0387860,12/17/1959,DISSOLVED,"MARINERO RESIDENCE NO. 1, INC.",CALIFORNIA,
C0388682,01/04/1960,FTB SUSPENDED,A-1 STENOTYPE SERVICE,CALIFORNIA,
C0389787,01/20/1960,DISSOLVED,"VETERANS OF WORLD WAR 1 OF THE UNITED STATES OF AMERICA, MORONGO      VALLEY BARRACKS NO. 1222",CALIFORNIA,ROSS A HOWE
C0390046,01/25/1960,DISSOLVED,"A-1 CAMERA CENTER, INC.",CALIFORNIA,
C0390224,01/28/1960,FTB SUSPENDED,A-1 TAXI SERVICE CORPORATION OF TORRANCE,CALIFORNIA,
C0390385,01/29/1960,DISSOLVED,CHICO BARRACKS NO. 440 OF VETERANS OF WORLD WAR 1 OF THE UNITED       STATES OF AMERICA,CALIFORNIA,
C0391108,02/15/1960,FTB SUSPENDED,"MID CITY CHAPTER NO. 1 OF THE SOCIETY FOR THE PRESERVATION AND        ENCOURAGEMENT OF BARBER SHOP QUARTET SINGING IN AMERICA, INCORPORATED OF LAKEWOOD, CALIFORNIA",CALIFORNIA,
