Link text,URLs
y,https://www.merriam-webster.com/setting/browse/dictionary/y
z,https://www.merriam-webster.com/setting/browse/dictionary/z
0-9,https://www.merriam-webster.com/setting/browse/dictionary/0
Home ,https://www.merriam-webster.com/setting/
Help ,https://www.merriam-webster.com/setting/help
Apps ,https://www.merriam-webster.com/setting/apps
About Us ,https://www.merriam-webster.com/setting/about-us
Advertising Info ,https://www.merriam-webster.com/setting/advertising
Contact Us ,https://www.merriam-webster.com/setting/contact-us
Videos ,https://www.merriam-webster.com/setting/video
Word of the Year ,https://www.merriam-webster.com/setting/words-at-play/word-of-the-year
Puku ,https://www.merriam-webster.com/setting/puku/about
Vocabulary Resources ,https://www.merriam-webster.com/setting/vocabulary/see-all
Law Dictionary ,https://www.merriam-webster.com/setting/legal
Medical Dictionary ,https://www.merriam-webster.com/setting/medical
Privacy Policy ,https://www.merriam-webster.com/setting/privacy-policy
Terms of Use ,https://www.merriam-webster.com/setting/terms-of-use
Browse the Thesaurus ,https://www.merriam-webster.com/setting/browse/thesaurus/a
Browse the Medical Dictionary,https://www.merriam-webster.com/setting/browse/medical/a
Browse the Legal Dictionary,https://www.merriam-webster.com/setting/browse/legal/a
GAMES & QUIZZES,https://www.merriam-webster.com/word-games
"

",https://www.merriam-webster.com/word-game/
,https://www.merriam-webster.com/word-game/settings
GAMES & QUIZZES,https://www.merriam-webster.com/word-game/word-games
THESAURUS,https://www.merriam-webster.com/word-game/thesaurus
WORD OF THE DAY,https://www.merriam-webster.com/word-game/word-of-the-day
FEATURES,https://www.merriam-webster.com/word-game/words-at-play
Buying Guide ,https://www.merriam-webster.com/word-game/theusage
LOG IN,https://www.merriam-webster.com/word-game/login
REGISTER,https://www.merriam-webster.com/word-game/register
"



",https://www.merriam-webster.com/word-game/settings
settings,https://www.merriam-webster.com/word-game/settings
log out,https://www.merriam-webster.com/word-game/logout
"
MY WORDSMY WORDS
",https://www.merriam-webster.com/word-game/saved-words
"
view recents
",https://www.merriam-webster.com/word-game/recents
"
Log in
",https://www.merriam-webster.com/word-game/login
"
Sign Up
",https://www.merriam-webster.com/word-game/register
,https://www.merriam-webster.com/word-game/settings
Games & Quizzes,https://www.merriam-webster.com/word-game/word-games
Thesaurus,https://www.merriam-webster.com/word-game/thesaurus
Word of the Day,https://www.merriam-webster.com/word-game/word-of-the-day
Features,https://www.merriam-webster.com/word-game/words-at-play
Buying Guide ,https://www.merriam-webster.com/word-game/theusage
"



My WordsMy Words
",https://www.merriam-webster.com/word-game/saved-words
"



                  View Recents
              ",https://www.merriam-webster.com/word-game/recents
"



              Account
              ",https://www.merriam-webster.com/word-game/settings
"
Log Out
",https://www.merriam-webster.com/word-game/logout
"
 ",https://www.merriam-webster.com/word-game/word-games/ntt-summer-foods-quiz
Name that Thing: Summery Foods,https://www.merriam-webster.com/word-game/word-games/ntt-summer-foods-quiz
A seasonal quiz of hot weather eats,https://www.merriam-webster.com/word-game/word-games/ntt-summer-foods-quiz
Play Now,https://www.merriam-webster.com/word-game/word-games/ntt-summer-foods-quiz
"
 ",https://www.merriam-webster.com/word-game/word-games/august-2021-wod-quiz
Word of the Day,https://www.merriam-webster.com/word-game/word-games/august-2021-wod-quiz
August 2021 Words of the Day Quiz,https://www.merriam-webster.com/word-game/word-games/august-2021-wod-quiz
Play Now,https://www.merriam-webster.com/word-game/word-games/august-2021-wod-quiz
"
 ",https://www.merriam-webster.com/word-game/word-games/more-insults-quiz
Humor,https://www.merriam-webster.com/word-game/word-games/more-insults-quiz
Test Your Insult Skills,https://www.merriam-webster.com/word-game/word-games/more-insults-quiz
Play Now,https://www.merriam-webster.com/word-game/word-games/more-insults-quiz
"
 ",https://www.merriam-webster.com/word-game/word-games/favorite-words-quiz
Best Of,https://www.merriam-webster.com/word-game/word-games/favorite-words-quiz
People's Favorite Words,https://www.merriam-webster.com/word-game/word-games/favorite-words-quiz
Play Now,https://www.merriam-webster.com/word-game/word-games/favorite-words-quiz
"
 ",https://www.merriam-webster.com/word-game/word-games/fiendish-vocab
Obscure Words,https://www.merriam-webster.com/word-game/word-games/fiendish-vocab
Challenging Words You Should Know,https://www.merriam-webster.com/word-game/word-games/fiendish-vocab
Play Now,https://www.merriam-webster.com/word-game/word-games/fiendish-vocab
"
 ",https://www.merriam-webster.com/word-game/word-games/july-2021-wod-quiz
,https://www.merriam-webster.com/word-game/word-games/july-2021-wod-quiz
July 2021 Words of the Day Quiz,https://www.merriam-webster.com/word-game/word-games/july-2021-wod-quiz
Play Now,https://www.merriam-webster.com/word-game/word-games/july-2021-wod-quiz
See All Weekly Challenge Quizzes,https://www.merriam-webster.com/word-game/word-games/see-all
"
 ",https://www.merriam-webster.com/word-game/word-games/typeshift
"
            Typeshift        ",https://www.merriam-webster.com/word-game/word-games/typeshift
Play Now,https://www.merriam-webster.com/word-game/word-games/typeshift
"

",https://www.merriam-webster.com/word-game/word-games/alphabear2
Alphabear 2,https://www.merriam-webster.com/word-game/word-games/alphabear2
Play Now,https://www.merriam-webster.com/word-game/word-games/alphabear2
,https://www.merriam-webster.com/word-game/word-games/name-that-thing
Play,https://www.merriam-webster.com/word-game/word-games/name-that-thing
,https://www.merriam-webster.com/word-game/word-games/vocabulary-quiz
Play,https://www.merriam-webster.com/word-game/word-games/vocabulary-quiz
,https://www.merriam-webster.com/word-game/word-games/spell-it
Play,https://www.merriam-webster.com/word-game/word-games/spell-it
,https://www.merriam-webster.com/word-game/word-games/true-or-false
Play,https://www.merriam-webster.com/word-game/word-games/true-or-false
WORD OF THE DAY,https://www.merriam-webster.com/word-game/word-of-the-day
jeopardize,https://www.merriam-webster.com/word-game/word-of-the-day
See Definitions and Examples,https://www.merriam-webster.com/word-game/word-of-the-day
TRENDING NOW,https://www.merriam-webster.com/word-game/news-trend-watch/see-all
"

                excelsior              

                Cuomo resigns              
",https://www.merriam-webster.com/word-game/news-trend-watch/cuomo-resigns-excelsior33-20210810
"

                guardian              

                Cleveland finds new team name              
",https://www.merriam-webster.com/word-game/news-trend-watch/cleveland-baseball-team-were-guardians-20210723
"

                apogee              

                Bezos in space              
",https://www.merriam-webster.com/word-game/news-trend-watch/bezos-spaceflight-reaches-apogee-20210720
SEE ALL,https://www.merriam-webster.com/word-game/news-trend-watch/see-all
Forgot password?,https://www.merriam-webster.com/word-game/forgot-password
"
Register 

",https://www.merriam-webster.com/word-game/register
,https://www.merriam-webster.com/word-game/word-games/universal-daily-crossword
Universal Daily Crossword,https://www.merriam-webster.com/word-game/word-games/universal-daily-crossword
A daily challenge for crossword fanatics.,https://www.merriam-webster.com/word-game/word-games/universal-daily-crossword
,https://www.merriam-webster.com/word-game/word-games/daily-jumble-classic
Daily Jumble (Jumble Classic),https://www.merriam-webster.com/word-game/word-games/daily-jumble-classic
Unscramble the words to complete the comic.,https://www.merriam-webster.com/word-game/word-games/daily-jumble-classic
,https://www.merriam-webster.com/word-game/word-games/word-roundup
Word Roundup,https://www.merriam-webster.com/word-game/word-games/word-roundup
Lasso the words that fit the clues and solve the puzzle.,https://www.merriam-webster.com/word-game/word-games/word-roundup
,https://www.merriam-webster.com/word-game/word-games/play-four
PlayFour!,https://www.merriam-webster.com/word-game/word-games/play-four
Complete the grid by forming four-letter words from the clues.,https://www.merriam-webster.com/word-game/word-games/play-four
,https://www.merriam-webster.com/word-game/word-games/up-and-down-words
Up and Down Words,https://www.merriam-webster.com/word-game/word-games/up-and-down-words
Solve the word chain where each answer provides a clue to the next.,https://www.merriam-webster.com/word-game/word-games/up-and-down-words
,https://www.merriam-webster.com/word-game/word-games/kenken
KenKen,https://www.merriam-webster.com/word-game/word-games/kenken
Play this challenging math-based puzzle.,https://www.merriam-webster.com/word-game/word-games/kenken
,https://www.merriam-webster.com/word-game/word-games/sudoku
Sudoku,https://www.merriam-webster.com/word-game/word-games/sudoku
Play a new logic puzzle every day.,https://www.merriam-webster.com/word-game/word-games/sudoku
,https://www.merriam-webster.com/word-game/word-games/lexigo
Lexigo,https://www.merriam-webster.com/word-game/word-games/lexigo
Find the hidden words in the letter tiles by solving the clues.,https://www.merriam-webster.com/word-game/word-games/lexigo
Merriam Webster,https://www.merriam-webster.com/word-game/
Browse the Dictionary:,https://www.merriam-webster.com/word-game/browse/dictionary/a
a,https://www.merriam-webster.com/word-game/browse/dictionary/a
b,https://www.merriam-webster.com/word-game/browse/dictionary/b
c,https://www.merriam-webster.com/word-game/browse/dictionary/c
d,https://www.merriam-webster.com/word-game/browse/dictionary/d
e,https://www.merriam-webster.com/word-game/browse/dictionary/e
f,https://www.merriam-webster.com/word-game/browse/dictionary/f
g,https://www.merriam-webster.com/word-game/browse/dictionary/g
h,https://www.merriam-webster.com/word-game/browse/dictionary/h
i,https://www.merriam-webster.com/word-game/browse/dictionary/i
j,https://www.merriam-webster.com/word-game/browse/dictionary/j
k,https://www.merriam-webster.com/word-game/browse/dictionary/k
l,https://www.merriam-webster.com/word-game/browse/dictionary/l
m,https://www.merriam-webster.com/word-game/browse/dictionary/m
n,https://www.merriam-webster.com/word-game/browse/dictionary/n
o,https://www.merriam-webster.com/word-game/browse/dictionary/o
p,https://www.merriam-webster.com/word-game/browse/dictionary/p
q,https://www.merriam-webster.com/word-game/browse/dictionary/q
r,https://www.merriam-webster.com/word-game/browse/dictionary/r
s,https://www.merriam-webster.com/word-game/browse/dictionary/s
t,https://www.merriam-webster.com/word-game/browse/dictionary/t
u,https://www.merriam-webster.com/word-game/browse/dictionary/u
v,https://www.merriam-webster.com/word-game/browse/dictionary/v
w,https://www.merriam-webster.com/word-game/browse/dictionary/w
x,https://www.merriam-webster.com/word-game/browse/dictionary/x
y,https://www.merriam-webster.com/word-game/browse/dictionary/y
z,https://www.merriam-webster.com/word-game/browse/dictionary/z
0-9,https://www.merriam-webster.com/word-game/browse/dictionary/0
Home ,https://www.merriam-webster.com/word-game/
Help ,https://www.merriam-webster.com/word-game/help
Apps ,https://www.merriam-webster.com/word-game/apps
About Us ,https://www.merriam-webster.com/word-game/about-us
Advertising Info ,https://www.merriam-webster.com/word-game/advertising
Contact Us ,https://www.merriam-webster.com/word-game/contact-us
Videos ,https://www.merriam-webster.com/word-game/video
Word of the Year ,https://www.merriam-webster.com/word-game/words-at-play/word-of-the-year
Puku ,https://www.merriam-webster.com/word-game/puku/about
Vocabulary Resources ,https://www.merriam-webster.com/word-game/vocabulary/see-all
Law Dictionary ,https://www.merriam-webster.com/word-game/legal
Medical Dictionary ,https://www.merriam-webster.com/word-game/medical
Privacy Policy ,https://www.merriam-webster.com/word-game/privacy-policy
Terms of Use ,https://www.merriam-webster.com/word-game/terms-of-use
Browse the Thesaurus ,https://www.merriam-webster.com/word-game/browse/thesaurus/a
Browse the Medical Dictionary,https://www.merriam-webster.com/word-game/browse/medical/a
Browse the Legal Dictionary,https://www.merriam-webster.com/word-game/browse/legal/a
THESAURUS,https://www.merriam-webster.com/thesaurus
"

",https://www.merriam-webster.com/thesauru/
,https://www.merriam-webster.com/thesauru/settings
GAMES & QUIZZES,https://www.merriam-webster.com/thesauru/word-games
THESAURUS,https://www.merriam-webster.com/thesauru/thesaurus
WORD OF THE DAY,https://www.merriam-webster.com/thesauru/word-of-the-day
FEATURES,https://www.merriam-webster.com/thesauru/words-at-play
Buying Guide ,https://www.merriam-webster.com/thesauru/theusage
LOG IN,https://www.merriam-webster.com/thesauru/login
REGISTER,https://www.merriam-webster.com/thesauru/register
"



",https://www.merriam-webster.com/thesauru/settings
settings,https://www.merriam-webster.com/thesauru/settings
log out,https://www.merriam-webster.com/thesauru/logout
"
MY WORDSMY WORDS
",https://www.merriam-webster.com/thesauru/saved-words
"
view recents
",https://www.merriam-webster.com/thesauru/recents
"
Log in
",https://www.merriam-webster.com/thesauru/login
"
Sign Up
",https://www.merriam-webster.com/thesauru/register
,https://www.merriam-webster.com/thesauru/settings
Games & Quizzes,https://www.merriam-webster.com/thesauru/word-games
Thesaurus,https://www.merriam-webster.com/thesauru/thesaurus
Word of the Day,https://www.merriam-webster.com/thesauru/word-of-the-day
Features,https://www.merriam-webster.com/thesauru/words-at-play
Buying Guide ,https://www.merriam-webster.com/thesauru/theusage
"



My WordsMy Words
",https://www.merriam-webster.com/thesauru/saved-words
"



                  View Recents
              ",https://www.merriam-webster.com/thesauru/recents
"



              Account
              ",https://www.merriam-webster.com/thesauru/settings
"
Log Out
",https://www.merriam-webster.com/thesauru/logout
a,https://www.merriam-webster.com/thesauru/browse/thesaurus/a
b,https://www.merriam-webster.com/thesauru/browse/thesaurus/b
c,https://www.merriam-webster.com/thesauru/browse/thesaurus/c
d,https://www.merriam-webster.com/thesauru/browse/thesaurus/d
e,https://www.merriam-webster.com/thesauru/browse/thesaurus/e
f,https://www.merriam-webster.com/thesauru/browse/thesaurus/f
g,https://www.merriam-webster.com/thesauru/browse/thesaurus/g
h,https://www.merriam-webster.com/thesauru/browse/thesaurus/h
i,https://www.merriam-webster.com/thesauru/browse/thesaurus/i
j,https://www.merriam-webster.com/thesauru/browse/thesaurus/j
k,https://www.merriam-webster.com/thesauru/browse/thesaurus/k
l,https://www.merriam-webster.com/thesauru/browse/thesaurus/l
m,https://www.merriam-webster.com/thesauru/browse/thesaurus/m
n,https://www.merriam-webster.com/thesauru/browse/thesaurus/n
o,https://www.merriam-webster.com/thesauru/browse/thesaurus/o
p,https://www.merriam-webster.com/thesauru/browse/thesaurus/p
q,https://www.merriam-webster.com/thesauru/browse/thesaurus/q
r,https://www.merriam-webster.com/thesauru/browse/thesaurus/r
s,https://www.merriam-webster.com/thesauru/browse/thesaurus/s
t,https://www.merriam-webster.com/thesauru/browse/thesaurus/t
u,https://www.merriam-webster.com/thesauru/browse/thesaurus/u
v,https://www.merriam-webster.com/thesauru/browse/thesaurus/v
w,https://www.merriam-webster.com/thesauru/browse/thesaurus/w
x,https://www.merriam-webster.com/thesauru/browse/thesaurus/x
y,https://www.merriam-webster.com/thesauru/browse/thesaurus/y
z,https://www.merriam-webster.com/thesauru/browse/thesaurus/z
0-9,https://www.merriam-webster.com/thesauru/browse/thesaurus/0
,https://www.merriam-webster.com/thesauru/word-games/vocabulary-quiz
Find the Best Synonym,https://www.merriam-webster.com/thesauru/word-games/vocabulary-quiz
Play Now,https://www.merriam-webster.com/thesauru/word-games/vocabulary-quiz
,https://www.merriam-webster.com/thesauru/word-games/vocabulary-quiz
,https://www.merriam-webster.com/thesauru/word-games/vocabulary-quiz
,https://www.merriam-webster.com/thesauru/words-at-play/prodigy-vs-protege
'Prodigy' vs. 'Protégé',https://www.merriam-webster.com/thesauru/words-at-play/prodigy-vs-protege
Gifted or guided?,https://www.merriam-webster.com/thesauru/words-at-play/prodigy-vs-protege
,https://www.merriam-webster.com/thesauru/words-at-play/is-it-further-or-farther-usage-how-to-use
Is it 'further' or 'farther'?,https://www.merriam-webster.com/thesauru/words-at-play/is-it-further-or-farther-usage-how-to-use
Read,https://www.merriam-webster.com/thesauru/words-at-play/is-it-further-or-farther-usage-how-to-use
,https://www.merriam-webster.com/thesauru/words-at-play/allusion-illusion-delusion
'Allusion' vs. 'Illusion',https://www.merriam-webster.com/thesauru/words-at-play/allusion-illusion-delusion
Read,https://www.merriam-webster.com/thesauru/words-at-play/allusion-illusion-delusion
,https://www.merriam-webster.com/thesauru/words-at-play/pray-vs-prey-word-choice
Is It 'Pray' or 'Prey'?,https://www.merriam-webster.com/thesauru/words-at-play/pray-vs-prey-word-choice
Read,https://www.merriam-webster.com/thesauru/words-at-play/pray-vs-prey-word-choice
WORD OF THE DAY,https://www.merriam-webster.com/thesauru/word-of-the-day
jeopardize,https://www.merriam-webster.com/thesauru/word-of-the-day
See Definitions and Examples,https://www.merriam-webster.com/thesauru/word-of-the-day
TRENDING NOW,https://www.merriam-webster.com/thesauru/news-trend-watch/see-all
"

                excelsior              

                Cuomo resigns              
",https://www.merriam-webster.com/thesauru/news-trend-watch/cuomo-resigns-excelsior33-20210810
"

                guardian              

                Cleveland finds new team name              
",https://www.merriam-webster.com/thesauru/news-trend-watch/cleveland-baseball-team-were-guardians-20210723
"

                apogee              

                Bezos in space              
",https://www.merriam-webster.com/thesauru/news-trend-watch/bezos-spaceflight-reaches-apogee-20210720
SEE ALL,https://www.merriam-webster.com/thesauru/news-trend-watch/see-all
"
 ",https://www.merriam-webster.com/thesauru/words-at-play/top-10-latin-words-to-live-by
“In Vino Veritas” and Other Latin Phrases to Live By,https://www.merriam-webster.com/thesauru/words-at-play/top-10-latin-words-to-live-by
Top 10 Latin Phrases,https://www.merriam-webster.com/thesauru/words-at-play/top-10-latin-words-to-live-by
"
 ",https://www.merriam-webster.com/thesauru/words-at-play/top-10-words-for-unusual-colors
10 Words for Uncommon Colors,https://www.merriam-webster.com/thesauru/words-at-play/top-10-words-for-unusual-colors
"Color names taken from paintings, flowers, fleas ...",https://www.merriam-webster.com/thesauru/words-at-play/top-10-words-for-unusual-colors
"
 ",https://www.merriam-webster.com/thesauru/words-at-play/word-well-used-recontextualize-jaya-saxena
Word Well Used: 'Recontextualize',https://www.merriam-webster.com/thesauru/words-at-play/word-well-used-recontextualize-jaya-saxena
Vocab + Margaritas ,https://www.merriam-webster.com/thesauru/words-at-play/word-well-used-recontextualize-jaya-saxena
"
 ",https://www.merriam-webster.com/thesauru/words-at-play/top-10-words-about-nonsense
A Thoughtful Guide to Words About Nonsense,https://www.merriam-webster.com/thesauru/words-at-play/top-10-words-about-nonsense
"Buffoonery, Codswallop & More",https://www.merriam-webster.com/thesauru/words-at-play/top-10-words-about-nonsense
"
 ",https://www.merriam-webster.com/thesauru/video/everyday-vs-every-day-difference
'Everyday' vs. 'Every Day',https://www.merriam-webster.com/thesauru/video/everyday-vs-every-day-difference
A simple trick to keep them separate,https://www.merriam-webster.com/thesauru/video/everyday-vs-every-day-difference
"
 ",https://www.merriam-webster.com/thesauru/video/what-is-semantic-bleaching
What Is 'Semantic Bleaching'?,https://www.merriam-webster.com/thesauru/video/what-is-semantic-bleaching
"How 'literally' can mean ""figuratively""",https://www.merriam-webster.com/thesauru/video/what-is-semantic-bleaching
"
 ",https://www.merriam-webster.com/thesauru/video/literally
Literally,https://www.merriam-webster.com/thesauru/video/literally
How to use a word that (literally) drives some pe...,https://www.merriam-webster.com/thesauru/video/literally
"
 ",https://www.merriam-webster.com/thesauru/video/the-awkward-case-of-his-or-her
Is Singular 'They' a Better Choice?,https://www.merriam-webster.com/thesauru/video/the-awkward-case-of-his-or-her
The awkward case of 'his or her',https://www.merriam-webster.com/thesauru/video/the-awkward-case-of-his-or-her
,https://www.merriam-webster.com/thesauru/word-games/ntt-summer-foods-quiz
Name that Thing: Summery Foods,https://www.merriam-webster.com/thesauru/word-games/ntt-summer-foods-quiz
A seasonal quiz of hot weather eats,https://www.merriam-webster.com/thesauru/word-games/ntt-summer-foods-quiz
Take the quiz,https://www.merriam-webster.com/thesauru/word-games/ntt-summer-foods-quiz
,https://www.merriam-webster.com/thesauru/word-games/august-2021-wod-quiz
August 2021 Words of the Day Quiz,https://www.merriam-webster.com/thesauru/word-games/august-2021-wod-quiz
How many do you remember?,https://www.merriam-webster.com/thesauru/word-games/august-2021-wod-quiz
Take the quiz,https://www.merriam-webster.com/thesauru/word-games/august-2021-wod-quiz
,https://www.merriam-webster.com/thesauru/word-games/vocabulary-quiz
How Strong Is Your Vocabulary?,https://www.merriam-webster.com/thesauru/word-games/vocabulary-quiz
Test your vocabulary with our 10-question quiz!,https://www.merriam-webster.com/thesauru/word-games/vocabulary-quiz
Take the quiz,https://www.merriam-webster.com/thesauru/word-games/vocabulary-quiz
,https://www.merriam-webster.com/thesauru/word-games/word-winder
Word Winder's CrossWinder,https://www.merriam-webster.com/thesauru/word-games/word-winder
A game of winding words.,https://www.merriam-webster.com/thesauru/word-games/word-winder
Play the game,https://www.merriam-webster.com/thesauru/word-games/word-winder
Merriam Webster,https://www.merriam-webster.com/thesauru/
Browse the Dictionary:,https://www.merriam-webster.com/thesauru/browse/dictionary/a
a,https://www.merriam-webster.com/thesauru/browse/dictionary/a
b,https://www.merriam-webster.com/thesauru/browse/dictionary/b
c,https://www.merriam-webster.com/thesauru/browse/dictionary/c
d,https://www.merriam-webster.com/thesauru/browse/dictionary/d
e,https://www.merriam-webster.com/thesauru/browse/dictionary/e
f,https://www.merriam-webster.com/thesauru/browse/dictionary/f
g,https://www.merriam-webster.com/thesauru/browse/dictionary/g
h,https://www.merriam-webster.com/thesauru/browse/dictionary/h
i,https://www.merriam-webster.com/thesauru/browse/dictionary/i
j,https://www.merriam-webster.com/thesauru/browse/dictionary/j
k,https://www.merriam-webster.com/thesauru/browse/dictionary/k
l,https://www.merriam-webster.com/thesauru/browse/dictionary/l
m,https://www.merriam-webster.com/thesauru/browse/dictionary/m
n,https://www.merriam-webster.com/thesauru/browse/dictionary/n
o,https://www.merriam-webster.com/thesauru/browse/dictionary/o
p,https://www.merriam-webster.com/thesauru/browse/dictionary/p
q,https://www.merriam-webster.com/thesauru/browse/dictionary/q
r,https://www.merriam-webster.com/thesauru/browse/dictionary/r
s,https://www.merriam-webster.com/thesauru/browse/dictionary/s
t,https://www.merriam-webster.com/thesauru/browse/dictionary/t
u,https://www.merriam-webster.com/thesauru/browse/dictionary/u
v,https://www.merriam-webster.com/thesauru/browse/dictionary/v
w,https://www.merriam-webster.com/thesauru/browse/dictionary/w
x,https://www.merriam-webster.com/thesauru/browse/dictionary/x
y,https://www.merriam-webster.com/thesauru/browse/dictionary/y
z,https://www.merriam-webster.com/thesauru/browse/dictionary/z
0-9,https://www.merriam-webster.com/thesauru/browse/dictionary/0
Home ,https://www.merriam-webster.com/thesauru/
Help ,https://www.merriam-webster.com/thesauru/help
Apps ,https://www.merriam-webster.com/thesauru/apps
About Us ,https://www.merriam-webster.com/thesauru/about-us
Advertising Info ,https://www.merriam-webster.com/thesauru/advertising
Contact Us ,https://www.merriam-webster.com/thesauru/contact-us
Videos ,https://www.merriam-webster.com/thesauru/video
Word of the Year ,https://www.merriam-webster.com/thesauru/words-at-play/word-of-the-year
Puku ,https://www.merriam-webster.com/thesauru/puku/about
Vocabulary Resources ,https://www.merriam-webster.com/thesauru/vocabulary/see-all
Law Dictionary ,https://www.merriam-webster.com/thesauru/legal
Medical Dictionary ,https://www.merriam-webster.com/thesauru/medical
Privacy Policy ,https://www.merriam-webster.com/thesauru/privacy-policy
Terms of Use ,https://www.merriam-webster.com/thesauru/terms-of-use
Browse the Thesaurus ,https://www.merriam-webster.com/thesauru/browse/thesaurus/a
Browse the Medical Dictionary,https://www.merriam-webster.com/thesauru/browse/medical/a
Browse the Legal Dictionary,https://www.merriam-webster.com/thesauru/browse/legal/a
WORD OF THE DAY,https://www.merriam-webster.com/word-of-the-day
"

",https://www.merriam-webster.com/word-of-the-da/
,https://www.merriam-webster.com/word-of-the-da/settings
GAMES & QUIZZES,https://www.merriam-webster.com/word-of-the-da/word-games
THESAURUS,https://www.merriam-webster.com/word-of-the-da/thesaurus
WORD OF THE DAY,https://www.merriam-webster.com/word-of-the-da/word-of-the-day
FEATURES,https://www.merriam-webster.com/word-of-the-da/words-at-play
Buying Guide ,https://www.merriam-webster.com/word-of-the-da/theusage
LOG IN,https://www.merriam-webster.com/word-of-the-da/login
REGISTER,https://www.merriam-webster.com/word-of-the-da/register
"



",https://www.merriam-webster.com/word-of-the-da/settings
settings,https://www.merriam-webster.com/word-of-the-da/settings
log out,https://www.merriam-webster.com/word-of-the-da/logout
"
MY WORDSMY WORDS
",https://www.merriam-webster.com/word-of-the-da/saved-words
"
view recents
",https://www.merriam-webster.com/word-of-the-da/recents
"
Log in
",https://www.merriam-webster.com/word-of-the-da/login
"
Sign Up
",https://www.merriam-webster.com/word-of-the-da/register
,https://www.merriam-webster.com/word-of-the-da/settings
Games & Quizzes,https://www.merriam-webster.com/word-of-the-da/word-games
Thesaurus,https://www.merriam-webster.com/word-of-the-da/thesaurus
Word of the Day,https://www.merriam-webster.com/word-of-the-da/word-of-the-day
Features,https://www.merriam-webster.com/word-of-the-da/words-at-play
Buying Guide ,https://www.merriam-webster.com/word-of-the-da/theusage
"



My WordsMy Words
",https://www.merriam-webster.com/word-of-the-da/saved-words
"



                  View Recents
              ",https://www.merriam-webster.com/word-of-the-da/recents
"



              Account
              ",https://www.merriam-webster.com/word-of-the-da/settings
"
Log Out
",https://www.merriam-webster.com/word-of-the-da/logout
Prev,https://www.merriam-webster.com/word-of-the-da/word-of-the-day/gasconade-2021-09-03
Test Your Vocabulary,https://www.merriam-webster.com/word-of-the-da/word-games
accomodate,https://www.merriam-webster.com/word-of-the-da/word-games/difficult-spelling-words?q=526&a=2073
acommadate,https://www.merriam-webster.com/word-of-the-da/word-games/difficult-spelling-words?q=526&a=2072
