state,name,address,number,email
Assam,Rishita Electricals,Silchar,9436370589,No data
Assam,Satya Narayan Saha,"Bazar Road, Riaz Market, Ward N. 3,Mangaldoi ,Dist -Darrang,",9435388096,No data
Assam,L.K. Enterprises,"Hospital Road, Dist - Sonitpur, State -Assam",9707683333,lalitagarwal37@gmail.com
Assam,Tribeni Enterprise,Dhubri,9706119291,tribeni.yamaha@gmail.com
Assam,Sri Krishna Ply And Electricals,Dhupdhara,7086447543,ss50632@gmail.com
Assam,Electrical Enterprise,"H.S Road,Dibrugarh,",9864098640,subhamsjd@gmail.com
Assam,Preety Electric,"H.S. Road,Dibrugarh,",9678960071,No data
Assam,Salasar Distributors,Dibrugarh,7002632321,salasar.distributors@gmail.com
Assam,K.K. Electricals,"Dist - Dibrugarh,State - Assam",9706113556,anilkayal09@gmail.com
Assam,Nakoda Electronic & Electricals,Agia Road,8402990927,No data
Assam,Bawri Brothers,Dhodar Ali,9508144100,No data
Assam,Ganpati Trade & Electricals,Golaghat,9435053622,ganpantiglt@gmail.com
Assam,Khetan Hardware & Electricals,"Dist - Golaghat,State - Assam",9435053481,khetanhardware1@gmail.com
Assam,Anurag Traders,Guwahati,9435191029,anuragtraders2013@gmail.com
Assam,Archana Machinery Stores,Murlidhar Sharma Road Dist - Kamrup,9864071656,poddarbiNd@gmail.com
Assam,Assam Paints House,"S.J. Road Athgaon, Dist - Kamrup,State - Assam",9435040232,pareeklokesh@yahoo.com
Assam,Core Entrade India Private Limited,"S.J. Road Athgaon, Dist - Kamrup,State - Assam",9706041000,core.entrade@gmail.com
Assam,Eastern Trade & Agencies,"Khemka Tea Ware House,Bhangagarh,",9435042013,gourav01761@gmail.com
Assam,Fancy Electricals,Guwahati,9435043990,fancyguwahati@gmail.com
Assam,Gopal Trade Agencies,Guwahati,9435514964,gopaltradeagencies@gmail.com
Assam,Jyoti Electricals,"Achyut Square 1St Floor,2 N Railway Gate,Ram Mandir Lane",9864066571,No data
Assam,K.L.Electricals,"Brahma Samaj Complex,,S.S.Road, Lakhtokia,,",9864045594,klelectricals@gmail.com
Assam,Kangaroo Hospitality & Care,Guwahati,9706065439,sushubhankar972@gmail.com
Assam,Laxmi Hightension Systems,"Ram Mandir Lane.Rly Gate N 2,Lakhtokia,",9435043335,laxmihightension@gmail.com
Assam,Lights And Glow,"Ram Mandir Lane, Rly Gate N. 2,Lakhtokia,",9435147879,gopaljoshi14583@gmail.com
Assam,Maa Electricals,"Ram Mandir Lane.Rly Gate N 2,Lakhtokia,Dist - Kamrup,State - Assam,",9864260421,maaelectricals.ght@rediffmail.com
Assam,Madan Electric & Trading Co.,Guwahati,No data,madanelectric@gmail.com
Assam,Manas Enterprises,"Ganeshguri Charali State- Assam ,Dist- Kamrup",9435100352,manasenterprises.2014@rediffmail.com
Assam,Mukta Electro Trading,Guwahati,9706098911,muktaelectrotrading@yahoo.com
Assam,N E Electrical & Appliances,Guwahati,9435043481,goswamichandan@yahoo.com
Assam,Prem Electricals,Lakhtokia,9864094630,premelectricals@gmail.com
Assam,R.K.Electronics,Guwahati,9435110835,No data
Assam,Radio Electric Stores,Guwahati,9436307600,radio.electricals@gmail.com
Assam,Reliable Corporation,"H.B Road,Opp Machkhowa Bus Stand",9864064444,reliableghy@gmail.com
Assam,Rhin Electricals,"S.S.Road, Lakhtokia,,Lakhtokia,,",9435543945,rhiNelectricals2000@yahoo.com
Assam,Samay Marketing(Guwahati),Guwahati,9435555967,samaymktg@rediffmail.com
Assam,Shree Sai Electronics,Guwahati,9864135898,saielectro2011@gmail.com
Assam,Spectrum Trade & Communication,Guwahati,9435547739,No data
Assam,Suren Electricals,"Near.Pan Bazar Overbridge,A.T.Road,Dist - Kamrup,State - Assam,",9435199513,surenelectricals1965@gmail.com
Assam,Tirupati Pump House,"Sixmile, Guwahati",9864043317,tirupatipumphouse@gmail.com
Assam,Trade Supply India,"A.T. Road, Athgaon, Guwahati",9435746557,No data
Assam,Uday(Distributors),Guwahati,9864095039,uttamkrdutta0@gmail.com
Assam,Bikash Enterprise,Hojai,9954306288,bikashpnt79@gmail.com
Assam,New Baba Loknath Electricals,"Main Road, Near Uco Bank,,",9435209035,vikramsahaji@gmail.com
Assam,Paul Sales Centre,"Shivaji Road, Mistry Patty P.O. Lumding, Dist-Nagaon,State-Assam",9957404805,paulsalescentre@gmail.com
Assam,Bharat Enterprises,"Umananda Complex,K B Road,Jorhat",9435351080,ghanshyambaheti25@gmail.com
Assam,Garg Hardware & Electricals,"A T Road Dist - Jorhat,State - Assam",9435090510,garghe@rediffmail.com
Assam,Jai Balaji Electricals,"A T Road,Marwarypatty,",9085573051,sarvankumarprajapat3051@gmail.com
Assam,M M Marketing,Jorhat,9435898353,vijaygattani06@gmail.com
Assam,Mangalam Distributors,A.T. Road,9435092024,mangalamjrt@gmail.com
Assam,Nandlal Brothers & Co.,"K.B.Road State- Assam, Dist- Jorhat",9864251022,nandlalbrothersjht@gmail.com
Assam,Sharma Hardware Store,"Dtc 16,M.G. Road,Diphu",9954490736,sharmahardware@gmail.com
Assam,R.K.Electronics,Guwahati,9435110835,No data
Assam,Radio Electric Stores,Guwahati,9436307600,radio.electricals@gmail.com
Assam,Reliable Corporation,"H.B Road,Opp Machkhowa Bus Stand",9864064444,reliableghy@gmail.com
Assam,Rhin Electricals,"S.S.Road, Lakhtokia,,Lakhtokia,,",9435543945,rhiNelectricals2000@yahoo.com
Assam,Samay Marketing(Guwahati),Guwahati,9435555967,samaymktg@rediffmail.com
Assam,Shree Sai Electronics,Guwahati,9864135898,saielectro2011@gmail.com
Assam,Spectrum Trade & Communication,Guwahati,9435547739,No data
Assam,Suren Electricals,"Near.Pan Bazar Overbridge,A.T.Road,Dist - Kamrup,State - Assam,",9435199513,surenelectricals1965@gmail.com
Assam,Tirupati Pump House,"Sixmile, Guwahati",9864043317,tirupatipumphouse@gmail.com
Assam,Trade Supply India,"A.T. Road, Athgaon, Guwahati",9435746557,No data
Assam,Uday(Distributors),Guwahati,9864095039,uttamkrdutta0@gmail.com
Assam,Bikash Enterprise,Hojai,9954306288,bikashpnt79@gmail.com
Assam,New Baba Loknath Electricals,"Main Road, Near Uco Bank,,",9435209035,vikramsahaji@gmail.com
Assam,Paul Sales Centre,"Shivaji Road, Mistry Patty P.O. Lumding, Dist-Nagaon,State-Assam",9957404805,paulsalescentre@gmail.com
Assam,Bharat Enterprises,"Umananda Complex,K B Road,Jorhat",9435351080,ghanshyambaheti25@gmail.com
Assam,Garg Hardware & Electricals,"A T Road Dist - Jorhat,State - Assam",9435090510,garghe@rediffmail.com
Assam,Jai Balaji Electricals,"A T Road,Marwarypatty,",9085573051,sarvankumarprajapat3051@gmail.com
Assam,M M Marketing,Jorhat,9435898353,vijaygattani06@gmail.com
Assam,Mangalam Distributors,A.T. Road,9435092024,mangalamjrt@gmail.com
Assam,Nandlal Brothers & Co.,"K.B.Road State- Assam, Dist- Jorhat",9864251022,nandlalbrothersjht@gmail.com
Assam,Sharma Hardware Store,"Dtc 16,M.G. Road,Diphu",9954490736,sharmahardware@gmail.com
Assam,Daulatram Ramkumar,Station Road Karimganj,9435074857,amohit329@gmail.com
Assam,Sreema Trading,Badarpur,9401534668,No data
Assam,Khan Hardware,"Krishnai, Near Sbi Bank",9365803003,khanimrankrishnai@gmail.com
Assam,D.D.Electricals & Machineries,"Dist - Lakhimpur, State - Assam",9435085804,ddem_123@rediffmail.com
Assam,Deb Nath Hardware,"Station Road Ward N 6, Lanka",9435067934,dsarakesh703@gmail.com
Assam,S.S. Traders,Mankachar,9678044317,sstraders555@rediffmail.com
Assam,Bhairab Electronics,Mangaldai,9435087284,bhairabdeka3@gmail.com
Assam,J B Electrics,Mangaldoi,9435087128,No data
Assam,Assam Electricals,Moranhat,9435004628,rajivagarwal12@gmail.com
Assam,Assam Machinery Stores,"Dhing Road, Haibargaon Dist-Nagaon,State-Assam",9864465786,assammachinerystoresngn@gmail.com
Assam,D.P.Poddar & Co.,"Old A.T. Road, Haibargaon, Dist-Nagaon,State-Assam",9435061189,No data
Assam,Gauri Sankar Khatuwala And Sons,Lawkhowa Road Haibargaon Nagaon,9435060392,No data
Assam,Suraj Electricals,Nagaon,9435160818,No data
Assam,Suranjani Electricals,Barabazar,9435162394,bhowmick_prasenjit@rediffmail.com
Assam,Data House,Nagoan,9435060521,datahouse2005@rediffmail.com
Assam,Tirupati Marketing,"S.S.Road,Haiborgoan,",9435160223,tirupati.ngg@gmail.com
Assam,Omkara Polymers,Nrth Bongaigaon,9706036925,No data
Assam,Laxmi Canvas,Nrth Lakhimpur,3752222318,bagree12@gmail.com
Assam,Balaji Electricals,Rangia,9864474078,balaji9666@yahoo.com
Assam,Rajib Electricals,Rangia,9954877899,rajibelectricals@gmail.com
Assam,Lahkar Agro & Electricals,Sarupathar,9435196874,lahkarkc2017@gmail.com
Assam,Shyam Sales And Supply,Sibsagar,9435155262,No data
Assam,Anand Enterprise,Silchar,9435070867,anandenterprisesilchar@yahoo.com
Assam,Purbanchal Hardware & Electricals,"B.G Road, Ward N-11,Sivasagar Town,",No data,purbanchal_electricals@yahoo.com
Assam,B.G.Electricals,Sivsagar,9435156225,bgsiv11@gmail.com
Assam,Jai Durga Electrical Goods,Sivsagar,9859935847,seemadalmia27@gmail.com
Assam,Krishna Store,Sonitpur,9435182872,No data
Assam,Bee Tee Enterprise,Tezpur,9706080682,pcprasenjitchakraborty@gmail.com
Assam,Bijoy Marketing,"Main Road, Tezpur",9954181819,bijoymarketing@gmail.com
Assam,Electric & Furnishing Mart,"K.B. Centre,Tezpur Dist - Sonitpur,State - Assam",9435380230,efm.tzp@rediffmail.com
Assam,Raj Electric & Trading Co,Tezpur,No data,rajelectric@outlook.com
Assam,Amit Enterprises,Tinsukia,9435154102,agarwal.amit625@gmail.com
Assam,Charubala Electric & Agency,"At Road Hijuguri,Near Sbi Bank,",9707011983,charubalaelectricagencytsk18@gmail.com
Assam,Compu Plus,Tinsukia,9435035008,No data
Assam,D R Enterprises,"A T Road, Near Railway Gate Tinsukia",9435036370,No data
Assam,Inva Electricals,Tinsukia,9706036197,lundiagroup@rediffmail.com
Assam,Manyata International,"Prithany Bhawan,Chirwapatty Road,",9435134336,manyatainternational@gmail.com
Assam,Daulatram Ramkumar,Station Road Karimganj,9435074857,amohit329@gmail.com
Assam,Sreema Trading,Badarpur,9401534668,No data
Assam,Khan Hardware,"Krishnai, Near Sbi Bank",9365803003,khanimrankrishnai@gmail.com
Assam,D.D.Electricals & Machineries,"Dist - Lakhimpur, State - Assam",9435085804,ddem_123@rediffmail.com
Assam,Deb Nath Hardware,"Station Road Ward N 6, Lanka",9435067934,dsarakesh703@gmail.com
Assam,S.S. Traders,Mankachar,9678044317,sstraders555@rediffmail.com
Assam,Bhairab Electronics,Mangaldai,9435087284,bhairabdeka3@gmail.com
Assam,J B Electrics,Mangaldoi,9435087128,No data
Assam,Assam Electricals,Moranhat,9435004628,rajivagarwal12@gmail.com
Assam,Assam Machinery Stores,"Dhing Road, Haibargaon Dist-Nagaon,State-Assam",9864465786,assammachinerystoresngn@gmail.com
Assam,D.P.Poddar & Co.,"Old A.T. Road, Haibargaon, Dist-Nagaon,State-Assam",9435061189,No data
Assam,Gauri Sankar Khatuwala And Sons,Lawkhowa Road Haibargaon Nagaon,9435060392,No data
Assam,National Electric Stores,Babulal Bazar Dist - Tinsukia,9706626549,nestsk1965@gmail.com
Assam,Paradise Electric Co,"A.T. Road State- Assam, Dist-Tinsukia",9435038390,rahulmodi.pec@gmail.com
Assam,Usha Battery Co,"Chirwapatty Road,Tinsukia,",9706074232,ushabatteryco@gmail.com
Assam,Shyam Sales And Supply,Sibsagar,9435155262,No data
Assam,Anand Enterprise,Silchar,9435070867,anandenterprisesilchar@yahoo.com
Assam,Purbanchal Hardware & Electricals,"B.G Road, Ward N-11,Sivasagar Town,",No data,purbanchal_electricals@yahoo.com
Assam,B.G.Electricals,Sivsagar,9435156225,bgsiv11@gmail.com
Assam,Jai Durga Electrical Goods,Sivsagar,9859935847,seemadalmia27@gmail.com
Assam,Krishna Store,Sonitpur,9435182872,No data
Assam,Bee Tee Enterprise,Tezpur,9706080682,pcprasenjitchakraborty@gmail.com
Assam,Bijoy Marketing,"Main Road, Tezpur",9954181819,bijoymarketing@gmail.com
Assam,Electric & Furnishing Mart,"K.B. Centre,Tezpur Dist - Sonitpur,State - Assam",9435380230,efm.tzp@rediffmail.com
Assam,Suraj Electricals,Nagaon,9435160818,No data
Assam,Suranjani Electricals,Barabazar,9435162394,bhowmick_prasenjit@rediffmail.com
Assam,Data House,Nagoan,9435060521,datahouse2005@rediffmail.com
Assam,Tirupati Marketing,"S.S.Road,Haiborgoan,",9435160223,tirupati.ngg@gmail.com
Assam,Omkara Polymers,Nrth Bongaigaon,9706036925,No data
Assam,Laxmi Canvas,Nrth Lakhimpur,3752222318,bagree12@gmail.com
Assam,Balaji Electricals,Rangia,9864474078,balaji9666@yahoo.com
Assam,Rajib Electricals,Rangia,9954877899,rajibelectricals@gmail.com
Assam,Lahkar Agro & Electricals,Sarupathar,9435196874,lahkarkc2017@gmail.com
Assam,Shyam Sales And Supply,Sibsagar,9435155262,No data
Assam,Anand Enterprise,Silchar,9435070867,anandenterprisesilchar@yahoo.com
Assam,Purbanchal Hardware & Electricals,"B.G Road, Ward N-11,Sivasagar Town,",No data,purbanchal_electricals@yahoo.com
Assam,B.G.Electricals,Sivsagar,9435156225,bgsiv11@gmail.com
Assam,Raj Electric & Trading Co,Tezpur,No data,rajelectric@outlook.com
Assam,Amit Enterprises,Tinsukia,9435154102,agarwal.amit625@gmail.com
Assam,Charubala Electric & Agency,"At Road Hijuguri,Near Sbi Bank,",9707011983,charubalaelectricagencytsk18@gmail.com
Assam,Compu Plus,Tinsukia,9435035008,No data
Assam,D R Enterprises,"A T Road, Near Railway Gate Tinsukia",9435036370,No data
Assam,Inva Electricals,Tinsukia,9706036197,lundiagroup@rediffmail.com
Assam,Manyata International,"Prithany Bhawan,Chirwapatty Road,",9435134336,manyatainternational@gmail.com
Assam,National Electric Stores,Babulal Bazar Dist - Tinsukia,9706626549,nestsk1965@gmail.com
Assam,Paradise Electric Co,"A.T. Road State- Assam, Dist-Tinsukia",9435038390,rahulmodi.pec@gmail.com
Assam,Usha Battery Co,"Chirwapatty Road,Tinsukia,",9706074232,ushabatteryco@gmail.com
Assam,Jai Durga Electrical Goods,Sivsagar,9859935847,seemadalmia27@gmail.com
Assam,Krishna Store,Sonitpur,9435182872,No data
Assam,Bee Tee Enterprise,Tezpur,9706080682,pcprasenjitchakraborty@gmail.com
Assam,Bijoy Marketing,"Main Road, Tezpur",9954181819,bijoymarketing@gmail.com
Assam,Electric & Furnishing Mart,"K.B. Centre,Tezpur Dist - Sonitpur,State - Assam",9435380230,efm.tzp@rediffmail.com
Assam,Raj Electric & Trading Co,Tezpur,No data,rajelectric@outlook.com
Assam,Amit Enterprises,Tinsukia,9435154102,agarwal.amit625@gmail.com
Assam,Charubala Electric & Agency,"At Road Hijuguri,Near Sbi Bank,",9707011983,charubalaelectricagencytsk18@gmail.com
Assam,Compu Plus,Tinsukia,9435035008,No data
Assam,D R Enterprises,"A T Road, Near Railway Gate Tinsukia",9435036370,No data
Assam,Inva Electricals,Tinsukia,9706036197,lundiagroup@rediffmail.com
Assam,Manyata International,"Prithany Bhawan,Chirwapatty Road,",9435134336,manyatainternational@gmail.com
Assam,National Electric Stores,Babulal Bazar Dist - Tinsukia,9706626549,nestsk1965@gmail.com
Assam,Paradise Electric Co,"A.T. Road State- Assam, Dist-Tinsukia",9435038390,rahulmodi.pec@gmail.com
Assam,Usha Battery Co,"Chirwapatty Road,Tinsukia,",9706074232,ushabatteryco@gmail.com
Bihar,Sushila Trading Company,"Karam Tola ,,Ara,","9431452030
9973012101
9570999800
9570999800",rameshdmr1@gmail.com
Bihar,M\/S Neelam Traders,"Ward N - 17,Kothi Hat Road,Forbesganj,","9939842933
9470452452",sumitk164@gmail.com
Bihar,M\/S Neelam Traders,Ward No - 17Kothi Hat Road,"9939842933
9939842933
9939842933",sumitk164@gmail.com
Bihar,M\/S Neelam Traders,Ward No - 17Kothi Hat Road,"9939842933
9939842933
9939842933",sumitk164@gmail.com
Bihar,Shri Punam Enterprises,"Kali Mela Road,Forbesganj,","9939732706
7004092992",yadav6.kumar@gmail.com
Bihar,Shri Punam Enterprises,Kali Mela Roadforbesganj,"9939732706
9939732706
9939732706",yadav6.kumar@gmail.com
Bihar,Shri Punam Enterprises,Kali Mela Roadforbesganj,"9939732706
9939732706
9939732706",yadav6.kumar@gmail.com
Bihar,Bharatiya Electronics,"Sharda Market, Karman Tola, Near Nawada Chowk ,Near Nawada Chowk,",9431086923,No data
Bihar,Nipun Radios & Electricals,"Jail Road Ara ,Ara,",9431405873,anshu.chhavi@gmail.com
Bihar,Baba Enterprises,"Jehanbad Road,,Near Khadi Bhandar,",9931226139,No data
Bihar,Hari Om Enterprises,"Baidrabad,Arwal, Bihar,",7070526838,singhshankar27777@gmail.com
Bihar,Hari Om Enterprises,"Baidarabad Bazar,Arwal","7970596081
7970596081
7970596081",singhshankar27777@gmail.com
Bihar,Hari Om Enterprises,"Baidarabad Bazar,Arwal","7970596081
7970596081
7970596081",singhshankar27777@gmail.com
Bihar,Hindustan Machinery & Pipe,"Near Mahzid, Kurtha,,Kurthabich Bazar,","9199609848
9835045449
9835045449",yaibsnl@yahoo.com
Bihar,Anil Sanitary & Paints,"Hotel Amit,Mg.Road,","9097637828
9031146437
9031146437",anujprakash45@gmail.com
Bihar,Hms Multi Paper Industries,"Ward N. 06,,Near Madrasa Islamiya, Daud Nagar,Aurangabad",9852888234,hmsmultipaper@gmail.com
Bihar,Jaya Enterprises,"Sinha Collage More,Ramdiha,","8969911959
8285125792
8285125792",jayafbj@gmail.com
Bihar,Maa Traders,Shivajee Chowkbanka,"9504003769
9504003769
9504003769",nachiketa.ranjan@rediffmail.com
Bihar,Maa Traders,Shivajee Chowkbanka,"9504003769
9504003769
9504003769",nachiketa.ranjan@rediffmail.com
Bihar,Rupesh Motor Sale & Servicing Cente,"Shiv Ashish Market,Near Hp Gas Office, Banka,","8271199070
9334100435
9334100435",rupeshkumer5408@gmail.com
Bihar,Hindustan Electric House,"Phulwaria Bazaar,Phulwaria Bazar,",9934270633,No data
Bihar,S Jay Radio,"Ans College,Station Road, Barh,,","7209547587
9162950979
9162950979",No data
Bihar,S Jay Radio,"Near Ans College ,Barh","7209547587
7209547587
7209547587",No data
Bihar,S Jay Radio,"Near Ans College ,Barh","7209547587
7209547587
7209547587",No data
Bihar,Amit Pipe Centre,"Mungeriganj Begusarai,Near Sanskar Vatika,,Mungeriganj",9470040850,apc243081@gmail.com
Bihar,Goldi Electrical,"Near Alka Cinema Hall,Aa,Nh-31,","8789593983
8789593983",goldielectricalsteghra@gmail.com
Bihar,Hindustan Commercial Agency,"New Market,Begusarai,",8521270969,hindustancommercialagency@gmail.com
Bihar,Jyoti  Sales,"Behind Gaytri Mandir,Sarvodaya Nagar, Ward N.40,","6200948853
7004092992
7004092992",kumarelectroni97@gmail.com
Bihar,Goyal Automobiles & Tractors,"Collegiate School Road,Jagir Mohalla, Begusrai,",9431211057,gatranjeet@rediffmail.com
Bihar,Adarsh Vision,"Benipur,Benipur,",No data,No data
Bihar,Adarsh Vision,Benipurbenipur,"9973600520
9973600520
9973600520",adarshphotostate2012@gmail.com
Bihar,Adarsh Vision,Benipurbenipur,"9973600520
9973600520
9973600520",adarshphotostate2012@gmail.com
Bihar,Maruti Sales Corporation,"Raj Compound,Children Park,Betiah",9835217820,marutisalescorporation.bth@gmail.com
Bihar,Champaran Battery,"Near Krishna  Petrol Pump,Bazar Samiti Rd,Motihari Rd,Bettiah","65254235584
9431275418",ataur.champaran@gmail.com
Bihar,Ruby Enterprises,"Kamalnath Nagar Christian Quarter ,Christian Quarter,",9955799546,No data
Bihar,Shree Ram Bhandar,"Lal Bazar,Bettiah,","8002880888
9431212190",No data
Bihar,Shri Balajee Electricals,"Hazarimal Dharamsala,Lal Bazar,",9334842801,balajee.ele@gmail.com
Bihar,Aditya Traders,"Kachahari Road, Ward N13.,Bhabua,",9708430775,vb7270@gmail.com
Bihar,Agarwal Tubewell Co,"Burhanath Road,Burhanath Road, Near Kamla Mandir,","8340728587
9031146437",agrawaltubewell.bgp@gmail.com
Bihar,Auto Tractor & Machinery,"Kotwali Bhagalpur,Kotwali Chowk,,",9931887850,No data
Bihar,Jayanti Electricals,"Shop N.-5, Ugf,Sri Ganpati Plaza,Khalifabagh",9472561444,sunilsharma1216@gmail.com
Bihar,Kanvi Agency,"Ward N:- 38,,Ray Bahadur Devi Prasad,Dhandhania Lane",9431872156,kanviagency@gmail.com
Bihar,Satyam Enterprises,"Gurudwara Road,Bhagalpur,","8210608792
8789604747
8789604747",satyam.ent@hotmail.com
Bihar,Light Centre,"D.N.Singh Road,,Bhagalpur,",9431213928,light_centre11@rediffmail.com
Bihar,Janta Pipe Fitting & Sanitary,"Braham Ashthan Chowk,W-13,Main Road, Sheohar,",9430461203,vishwanathguptapipe@gmail.com
Bihar,General Hardware Stores,"Ranchi Road,,Bihar Sharif.,","6112232730
9835045449",No data
Bihar,Rajdhani Electricals,"Sohsarai,Nalanda,",9334813437,rajdhanielectricals22@gmail.com
Bihar,Mehta Bijli Ghar,"Ramrekha Ghat,Old Bus Stand Market,",9525986382,mehtabijlighar@gmail.com
Bihar,Krishi Auzar Bhandar,"Gaushala Market,Station Road,","6183222479
8789604747
8434402518
8434402518",nrp.bxr@gmail.com
Bihar,B.V. Communication,"Nagarpalika Chowk Chapra ,Chapra,","9801854555
9431245221
9431245221",No data
Bihar,Deepak Electric,"Near Indralok Hotel,Lahbazar,Salempur","9931199238
9955999123",deepakelectric1992@gmail.com
Bihar,Maa Traders,"Joginiya Kothi Road,Chapra,",9470450481,alokchr577@gmail.com
Bihar,Sai Electric & Parts,"Dumduma Dhala Road,Daudpur,",7979872518,sanjiv8019@live.com
Bihar,Sonu Electric,"Salempur,,Harimohan Gali,Chapra, Bihar","9122678001
9122678001",sonuele.cpr@gmail.com
Bihar,Ayush Pumps,"Opp - Hotel A P Palace,Poonam Cinema Road,",9431219073,ayushcrompton@gmail.com
Bihar,Bharat Machinery Tools,"Station Road,Mirjapur,Station Road,Mirjapur,",7717783493,nirbhay1978@yahoo.com
Bihar,Light House,"Near Dilawarpur Petrol Pump,Sonki Road, Donar,",9693599599,tariqueanwer957@gmail.com
Bihar,Narayani Enterprises,"Ward N-10,Mohalla-Gullowara,Post-Lalbagh","7050342260
9546244976
9546244976",narayanidbg@gmail.com
Bihar,Shree Traders,"Lalbagh Darbhanga ,Darbhanga,",9934655597,lovelycornerdbg@gmail.com
Bihar,Sumit Trading Co,"Near Mirzapur Chowak,C\/O Bharat Machinery Tools,Mirzapur,",8409504444,sumeet.trading@gmail.com
Bihar,Hms Multi Paper Industries,"Hospital Road ,Daudnagar","7277313600
7277313600
7277313600",hmsmultipaper@gmail.com
Bihar,Hms Multi Paper Industries,"Hospital Road ,Daudnagar","7277313600
7277313600
7277313600",hmsmultipaper@gmail.com
Bihar,Kumar Hardware,"New G. T. Road,,Dehri-On-Sone,",9931583238,kumarhardware283@gmail.com
Bihar,Sanjay Machinery Store,"Station Road,Dumraon,","6323222587
9507273980",No data
Bihar,Siddhi Vinayak,"Mayur Gali, East Champaran (Bihar),Raxaul,","9473268256
7070722966
7004321931
7004321931",No data
Bihar,Siddhi Vinayak,"Mayur Gali, East Champaran (Bihar)Raxaul","9473268256
9473268256
9473268256",kumargaurav69550@gmail.com
Bihar,Siddhi Vinayak,"Mayur Gali, East Champaran (Bihar)Raxaul","9473268256
9473268256
9473268256",kumargaurav69550@gmail.com
Bihar,Chunilal & Company,"Ward N. 10,S.K. Road, Forbesganj,","9430523403
7091909996
7091909996",No data
Bihar,Janki Traders,"Post Office Chowk,,Forbesganj,",9523514716,No data
Bihar,Kasba Stores,"S.K.Road,,Forbesganj.,",9430969638,No data
Bihar,Free India Electric House,"Shaheed Road,Gaya,",9199091037,chunu.fellow@gmail.com
Bihar,Harsh Enterprises,"Near-Bharat Petrol Pump,Shaheed Road,Near-Punjab Store,",9835483045,No data
Bihar,Heera Electricals,"7,Dighi Tank,Near Old Lic,",9334987508,No data
