title,address,price,contact,url
6 bedroom detached house for sale,"Kensington Gate, Queen’s Gate, Kensington, London W8","9,000,000",tel:020 8022 0431,https://media.onthemarket.com/properties/10605228/1366379128/composite.png
3 bedroom apartment for sale,"Carysfort Road, Crouch End, London, N8","600,000",tel:020 8022 7108,https://media.onthemarket.com/properties/10902390/1366337224/composite.jpg
3 bedroom flat for sale,"Lillie Square, Seagrave Road, Earl’s Court, London, SW6",,tel:020 8022 0431,https://media.onthemarket.com/properties/10836471/1366379174/composite.jpg
1 bedroom flat for sale,"High Street, Waltham Cross, EN8","187,500",tel:020 8022 0431,https://media.onthemarket.com/properties/8762991/1366379025/composite.jpg
3 bedroom end of terrace house for sale,"Lake Road, Romford","375,000",tel:020 8022 6732,https://media.onthemarket.com/properties/10902309/1366336321/composite.jpg
4 bedroom terraced house for sale,"Ebbisham Drive, Vauxhall","725,000",tel:020 8033 2458,https://media.onthemarket.com/properties/10902211/1366212260/composite.jpg
2 bedroom apartment for sale,"Clissold Road, LONDON","525,000",tel:020 8022 7029,https://media.onthemarket.com/properties/10902134/1366220948/composite.jpg
2 bedroom flat for sale,"Clapham Road, Clapham","550,000",tel:020 8033 2474,https://media.onthemarket.com/properties/10902120/1366215279/composite.jpg
4 bedroom detached house for sale,"Wolsey Road, East Molesey, Surrey, KT8","2,250,000",tel:01372 434144,https://media.onthemarket.com/properties/10902089/1366359720/composite.jpg
2 bedroom flat for sale,"Brewers Court,  Westminster,  W2","550,000",tel:020 8128 9864,https://media.onthemarket.com/properties/10899319/1366359434/composite.jpg
4 bedroom flat for sale,"South Hampstead,  London,  NW6","1,200,000",tel:020 8115 7396,https://media.onthemarket.com/properties/10898496/1366250807/composite.jpg
3 bedroom bungalow for sale,"Pasley Close, London","510,000",tel:020 8115 6840,https://media.onthemarket.com/properties/10892401/1365940553/composite.jpg
3 bedroom flat for sale,"Eaton Square Belgravia, London SW1W 9DD","4,500,000",tel:020 8022 0431,https://media.onthemarket.com/properties/9481199/1366278451/composite.jpg
4 bedroom flat for sale,"100 Knightsbridge, London SW1X","38,000,000",tel:020 8022 0431,https://media.onthemarket.com/properties/10716255/1366278485/composite.jpg
3 bedroom flat for sale,"Eaton Square, Belgravia, SW1W","23,500,000",tel:020 8022 0431,https://media.onthemarket.com/properties/10101587/1366278607/composite.jpg
3 bedroom flat for sale,"Principal Place, London",,tel:020 8022 0431,https://media.onthemarket.com/properties/10836470/1366278618/composite.jpg
5 bedroom flat for sale,"Montrose Place, Belgravia, London SW1X 7DU",,tel:020 8022 0431,https://media.onthemarket.com/properties/7462239/1366379074/composite.jpg
5 bedroom detached house for sale,"Belgravia, London, SW1",,tel:020 8022 0431,https://media.onthemarket.com/properties/10836474/1366379235/composite.jpg
3 bedroom flat for sale,"The Tower, St George Wharf, London","2,500,000",tel:020 8022 0431,https://media.onthemarket.com/properties/10836469/1366379149/composite.jpg
3 bedroom flat for sale,"1 Marylebone Square Moxon St, London, W1U","4,300,000",tel:020 8022 0431,https://media.onthemarket.com/properties/7815293/1366379046/composite.jpg
6 bedroom detached house for sale,"Egerton Crescent, SW3","11,900,000",tel:020 8022 0431,https://media.onthemarket.com/properties/10426170/1366379048/composite.jpg
3 bedroom detached house for sale,"Napier Place, Holland Park, W14","2,950,000",tel:020 8022 0431,https://media.onthemarket.com/properties/10836467/1366379066/composite.jpg
4 bedroom flat for sale,"Chesham Place, Belgravia, SW1X","28,500,000",tel:020 8022 0431,https://media.onthemarket.com/properties/10081206/1366278670/composite.jpg
2 bedroom flat for sale,"One Kensington Gardens, Kensington, W8",,tel:020 8022 0431,https://media.onthemarket.com/properties/10836473/1366278655/composite.jpg
3 bedroom flat for sale,"Lillie Square, Seagrave Road, Earl’s Court, London, SW6",,tel:020 8022 0431,https://media.onthemarket.com/properties/10836471/1366379174/composite.jpg
9 bedroom detached house for sale,"Eaton Place, Belgravia, SW1X","21,150,000",tel:020 8022 0431,https://media.onthemarket.com/properties/10074026/1366379237/composite.jpg
